Dates,Infected,Dead,Recovered
1 days,0,0,0
2 days,1,0,0
3 days,1,0,0
4 days,2,0,0
5 days,3,0,0
6 days,5,0,0
7 days,6,0,0
8 days,8,0,0
9 days,11,0,0
10 days,13,0,0
11 days,8,0,0
12 days,22,0,0
13 days,29,0,0
14 days,47,0,0
15 days,41,0,0
16 days,41,0,0
17 days,67,0,0
18 days,105,0,1
19 days,145,0,4
20 days,175,0,4
21 days,205,0,9
22 days,159,0,6
23 days,118,1,6
24 days,52,1,0
25 days,55,1,0
26 days,33,1,6
27 days,45,1,6
28 days,51,1,21
29 days,68,1,15
30 days,64,2,15
31 days,60,1,0
32 days,55,1,0
33 days,63,2,0
34 days,83,2,0
35 days,85,4,105
36 days,61,2,105
37 days,80,2,105
38 days,90,1,0
39 days,129,1,0
40 days,111,3,0
41 days,111,7,164
42 days,123,8,164
43 days,176,6,164
44 days,184,2,0
45 days,172,3,51
46 days,144,2,51
47 days,159,4,51
48 days,218,6,139
49 days,252,7,139
50 days,242,7,139
51 days,198,4,0
52 days,191,4,0
53 days,212,2,200
54 days,268,5,200
55 days,285,4,200
56 days,318,8,103
57 days,329,7,159
58 days,379,9,159
59 days,423,7,121
60 days,412,8,66
61 days,342,7,201
62 days,337,8,136
63 days,441,10,136
64 days,537,11,277
65 days,594,11,340
66 days,586,9,401
67 days,643,7,125
68 days,686,8,191
