Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,1.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,0.0,0.0,0.0
13 days,0.0,0.0,0.0
14 days,0.0,0.0,2.0
15 days,0.0,0.0,0.0
16 days,0.0,0.0,0.0
17 days,0.0,0.0,0.0
18 days,0.0,0.0,0.0
19 days,0.0,0.0,0.0
20 days,0.0,0.0,0.0
21 days,0.0,0.0,0.0
22 days,0.0,0.0,0.0
23 days,0.0,0.0,0.0
24 days,4.0,0.0,0.0
25 days,7.0,0.0,0.0
26 days,2.0,0.0,0.0
27 days,17.0,0.0,0.0
28 days,13.0,0.0,0.0
29 days,39.0,0.0,0.0
30 days,36.0,0.0,0.0
31 days,45.0,1.0,0.0
32 days,57.0,1.0,0.0
33 days,37.0,1.0,0.0
34 days,141.0,2.0,0.0
35 days,100.0,5.0,28.0
36 days,173.0,7.0,0.0
37 days,400.0,11.0,2.0
38 days,622.0,7.0,0.0
39 days,582.0,19.0,151.0
40 days,0.0,1.0,0.0
41 days,2955.0,78.0,10.0
42 days,1159.0,62.0,324.0
43 days,1407.0,94.0,0.0
44 days,2144.0,53.0,13.0
45 days,1806.0,191.0,498.0
46 days,2162.0,90.0,53.0
47 days,4053.0,207.0,26.0
48 days,2447.0,213.0,481.0
49 days,4964.0,332.0,537.0
50 days,3394.0,397.0,450.0
51 days,6368.0,539.0,0.0
52 days,4749.0,497.0,1219.0
53 days,9630.0,839.0,1573.0
54 days,8271.0,718.0,1648.0
55 days,7933.0,773.0,2342.0
56 days,7516.0,844.0,2928.0
57 days,6875.0,821.0,2424.0
58 days,7846.0,913.0,2071.0
59 days,7967.0,748.0,2479.0
60 days,8195.0,923.0,3388.0
61 days,7947.0,961.0,4096.0
62 days,7134.0,850.0,3770.0
63 days,6969.0,749.0,3706.0
64 days,5478.0,694.0,3861.0
65 days,5029.0,700.0,2357.0
66 days,5267.0,704.0,2771.0
67 days,6278.0,747.0,4813.0
68 days,5002.0,655.0,4144.0
69 days,5051.0,634.0,3503.0
70 days,4754.0,525.0,3441.0
71 days,3804.0,603.0,3282.0
72 days,3268.0,547.0,2336.0
73 days,2442.0,300.0,2777.0
74 days,5103.0,652.0,3349.0
75 days,7304.0,607.0,3944.0
76 days,5891.0,687.0,0.0
77 days,887.0,41.0,0.0
78 days,6948.0,410.0,2560.0
79 days,1536.0,399.0,3230.0
80 days,2780.0,430.0,1927.0
81 days,0.0,435.0,3401.0
82 days,0.0,440.0,3335.0
83 days,0.0,367.0,3105.0
84 days,2915.0,378.0,3353.0
85 days,1729.0,288.0,2664.0
86 days,1831.0,331.0,2503.0
87 days,1308.0,301.0,1673.0
88 days,2144.0,453.0,6399.0
89 days,518.0,268.0,3103.0
90 days,1781.0,0.0,0.0
91 days,1366.0,557.0,5198.0
92 days,884.0,164.0,1654.0
93 days,545.0,164.0,2441.0
94 days,1318.0,185.0,2143.0
95 days,996.0,244.0,2516.0
96 days,1122.0,213.0,2509.0
97 days,1410.0,229.0,2637.0
98 days,721.0,179.0,2804.0
99 days,772.0,143.0,2214.0
100 days,3086.0,123.0,973.0
101 days,594.0,176.0,1841.0
102 days,661.0,184.0,1843.0
