Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,0,0,0
12 days,0,0,0
13 days,0,0,0
14 days,0,0,1
15 days,0,0,1
16 days,0,0,1
17 days,0,0,0
18 days,0,0,0
19 days,0,0,0
20 days,0,0,0
21 days,0,0,0
22 days,0,0,0
23 days,0,0,0
24 days,1,0,0
25 days,4,0,0
26 days,4,0,0
27 days,9,0,0
28 days,11,0,0
29 days,23,0,0
30 days,29,0,0
31 days,40,0,0
32 days,46,1,0
33 days,46,1,0
34 days,78,1,0
35 days,93,3,9
36 days,138,5,9
37 days,224,8,10
38 days,398,8,1
39 days,535,12,51
40 days,401,9,50
41 days,1179,33,54
42 days,1371,47,111
43 days,1840,78,111
44 days,1570,70,112
45 days,1786,113,170
46 days,2037,111,188
47 days,2674,163,192
48 days,2887,170,187
49 days,3821,251,348
50 days,3602,314,489
51 days,4909,423,329
52 days,4837,478,556
53 days,6916,625,931
54 days,7550,685,1480
55 days,8611,777,1854
56 days,7907,778,2306
57 days,7441,813,2565
58 days,7412,859,2474
59 days,7563,827,2325
60 days,8003,861,2646
61 days,8036,877,3321
62 days,7759,911,3751
63 days,7350,853,3857
64 days,6527,764,3779
65 days,5825,714,3308
66 days,5258,699,2996
67 days,5525,717,3314
68 days,5516,702,3909
69 days,5444,679,4153
70 days,4936,605,3696
71 days,4536,587,3409
72 days,3942,558,3020
73 days,3171,483,2798
74 days,3604,500,2821
75 days,4950,520,3357
76 days,6099,649,2431
77 days,4694,445,1315
78 days,4575,379,853
79 days,3124,283,1930
80 days,4151,413,2572
81 days,3238,421,2853
