Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,0.0,0.0,1.0
13 days,0.0,0.0,0.0
14 days,0.0,0.0,0.0
15 days,0.0,0.0,0.0
16 days,0.0,0.0,0.0
17 days,0.0,0.0,0.0
18 days,0.0,0.0,0.0
19 days,0.0,0.0,0.0
20 days,0.0,0.0,0.0
21 days,0.0,0.0,0.0
22 days,0.0,0.0,0.0
23 days,0.0,0.0,0.0
24 days,0.0,0.0,0.0
25 days,0.0,0.0,0.0
26 days,0.0,0.0,0.0
27 days,0.0,0.0,0.0
28 days,0.0,0.0,0.0
29 days,0.0,0.0,0.0
30 days,0.0,0.0,0.0
31 days,0.0,0.0,0.0
32 days,0.0,0.0,0.0
33 days,0.0,0.0,0.0
34 days,0.0,0.0,0.0
35 days,0.0,0.0,0.0
36 days,0.0,0.0,0.0
37 days,0.0,0.0,0.0
38 days,0.0,0.0,0.0
39 days,0.0,0.0,0.0
40 days,0.0,0.0,0.0
41 days,0.0,0.0,0.0
42 days,0.0,0.0,0.0
43 days,0.0,0.0,0.0
44 days,1.0,0.0,0.0
45 days,0.0,0.0,0.0
46 days,4.0,0.0,0.0
47 days,4.0,0.0,0.0
48 days,8.0,0.0,0.0
49 days,10.0,0.0,0.0
50 days,16.0,0.0,0.0
51 days,7.0,0.0,0.0
52 days,9.0,0.0,0.0
53 days,13.0,0.0,0.0
54 days,4.0,0.0,0.0
55 days,5.0,0.0,1.0
56 days,15.0,0.0,0.0
57 days,5.0,0.0,0.0
58 days,0.0,0.0,1.0
59 days,4.0,0.0,4.0
60 days,0.0,0.0,0.0
61 days,7.0,1.0,2.0
62 days,4.0,0.0,2.0
63 days,5.0,1.0,4.0
64 days,21.0,0.0,2.0
65 days,3.0,1.0,4.0
66 days,5.0,1.0,0.0
67 days,8.0,0.0,3.0
68 days,7.0,1.0,3.0
69 days,10.0,0.0,6.0
70 days,2.0,0.0,5.0
71 days,7.0,1.0,4.0
72 days,4.0,1.0,2.0
73 days,1.0,0.0,5.0
74 days,0.0,0.0,5.0
75 days,8.0,0.0,0.0
76 days,12.0,0.0,2.0
77 days,7.0,0.0,0.0
78 days,16.0,0.0,5.0
79 days,5.0,0.0,2.0
80 days,0.0,0.0,5.0
81 days,6.0,0.0,9.0
82 days,10.0,0.0,9.0
83 days,17.0,0.0,10.0
84 days,33.0,0.0,2.0
85 days,6.0,0.0,4.0
86 days,20.0,0.0,3.0
87 days,38.0,0.0,2.0
88 days,52.0,0.0,2.0
89 days,40.0,0.0,9.0
90 days,63.0,0.0,2.0
91 days,65.0,0.0,6.0
92 days,31.0,0.0,8.0
93 days,30.0,0.0,2.0
94 days,14.0,0.0,18.0
95 days,27.0,0.0,8.0
96 days,15.0,0.0,10.0
97 days,13.0,0.0,12.0
98 days,33.0,1.0,10.0
99 days,20.0,1.0,19.0
100 days,26.0,0.0,2.0
101 days,27.0,0.0,17.0
102 days,11.0,0.0,8.0
103 days,12.0,0.0,20.0
104 days,16.0,0.0,61.0
105 days,6.0,0.0,22.0
106 days,20.0,0.0,23.0
107 days,26.0,0.0,16.0
