Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,0,0,0
12 days,0,0,0
13 days,0,0,0
14 days,0,0,0
15 days,0,0,0
16 days,0,0,0
17 days,0,0,0
18 days,0,0,0
19 days,0,0,0
20 days,0,0,0
21 days,0,0,0
22 days,0,0,0
23 days,0,0,0
24 days,0,0,0
25 days,0,0,0
26 days,0,0,0
27 days,0,0,0
28 days,0,0,0
29 days,0,0,0
30 days,0,0,0
31 days,0,0,0
32 days,0,0,0
33 days,0,0,0
34 days,0,0,0
35 days,0,0,0
36 days,0,0,0
37 days,0,0,0
38 days,0,0,0
39 days,0,0,0
40 days,0,0,0
41 days,0,0,0
42 days,0,0,0
43 days,0,0,0
44 days,0,0,0
45 days,0,0,0
46 days,2,0,0
47 days,3,0,0
48 days,5,0,0
49 days,7,0,0
50 days,11,0,0
51 days,11,0,0
52 days,11,0,0
53 days,10,0,0
54 days,9,0,0
55 days,7,0,0
56 days,8,0,0
57 days,8,0,0
58 days,7,0,0
59 days,3,0,2
60 days,1,0,2
61 days,4,0,2
62 days,4,0,1
63 days,5,1,3
64 days,10,0,3
65 days,10,1,3
66 days,10,1,2
67 days,5,1,2
68 days,7,1,2
69 days,8,0,4
70 days,6,0,5
71 days,6,0,5
72 days,4,1,4
73 days,4,1,4
74 days,2,0,4
75 days,3,0,3
76 days,7,0,2
77 days,9,0,1
78 days,12,0,2
79 days,9,0,2
80 days,7,0,4
81 days,4,0,5
82 days,5,0,8
83 days,11,0,9
84 days,20,0,7
85 days,19,0,5
86 days,20,0,3
87 days,21,0,3
88 days,37,0,2
89 days,43,0,4
90 days,52,0,4
91 days,56,0,6
92 days,53,0,5
93 days,42,0,5
94 days,25,0,9
95 days,24,0,9
96 days,19,0,12
97 days,18,0,10
98 days,20,0,11
99 days,22,1,14
