Dates,Infected,Dead,Recovered
0 days,1.0,1.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,1.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,1.0,0.0,0.0
12 days,0.0,0.0,0.0
13 days,0.0,0.0,0.0
14 days,0.0,0.0,0.0
15 days,2.0,0.0,0.0
16 days,1.0,0.0,0.0
17 days,0.0,1.0,0.0
18 days,1.0,0.0,1.0
19 days,0.0,0.0,1.0
20 days,1.0,0.0,0.0
21 days,2.0,0.0,0.0
22 days,0.0,0.0,0.0
23 days,2.0,0.0,0.0
24 days,0.0,0.0,0.0
25 days,2.0,0.0,0.0
26 days,0.0,0.0,0.0
27 days,1.0,0.0,0.0
28 days,2.0,0.0,0.0
29 days,2.0,0.0,0.0
30 days,0.0,0.0,0.0
31 days,10.0,2.0,2.0
32 days,3.0,1.0,0.0
33 days,0.0,0.0,0.0
34 days,0.0,0.0,0.0
35 days,1.0,1.0,0.0
36 days,33.0,4.0,2.0
37 days,0.0,0.0,0.0
38 days,41.0,2.0,2.0
39 days,0.0,0.0,0.0
40 days,33.0,1.0,4.0
41 days,34.0,3.0,2.0
42 days,0.0,0.0,0.0
43 days,39.0,1.0,5.0
44 days,24.0,4.0,1.0
45 days,38.0,1.0,1.0
46 days,43.0,3.0,10.0
47 days,57.0,3.0,1.0
48 days,67.0,3.0,7.0
49 days,91.0,5.0,7.0
50 days,59.0,5.0,6.0
51 days,0.0,0.0,0.0
52 days,86.0,0.0,9.0
53 days,100.0,4.0,9.0
54 days,74.0,4.0,10.0
55 days,78.0,3.0,12.0
56 days,181.0,7.0,10.0
57 days,53.0,5.0,17.0
58 days,201.0,6.0,30.0
59 days,161.0,4.0,13.0
60 days,135.0,6.0,11.0
61 days,157.0,10.0,25.0
