Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,0,0,0
12 days,0,0,0
13 days,0,0,0
14 days,0,0,0
15 days,1,0,0
16 days,1,0,0
17 days,1,0,0
18 days,1,0,0
19 days,0,0,1
20 days,1,0,1
21 days,1,0,0
22 days,1,0,0
23 days,1,0,0
24 days,1,0,0
25 days,1,0,0
26 days,1,0,0
27 days,1,0,0
28 days,1,0,0
29 days,2,0,0
30 days,1,0,0
31 days,4,1,1
32 days,4,1,1
33 days,4,1,1
34 days,1,0,0
35 days,0,0,0
36 days,11,2,1
37 days,11,2,1
38 days,25,2,1
39 days,14,1,1
40 days,25,1,2
41 days,22,1,2
42 days,22,1,2
43 days,24,1,2
44 days,21,2,2
45 days,34,2,2
46 days,35,3,4
47 days,46,2,4
48 days,56,3,6
49 days,72,4,5
50 days,72,4,7
51 days,50,3,4
52 days,48,2,5
53 days,62,1,6
