Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,0.0,0.0,0.0
13 days,0.0,0.0,0.0
14 days,0.0,0.0,0.0
15 days,0.0,0.0,0.0
16 days,0.0,0.0,0.0
17 days,0.0,0.0,0.0
18 days,0.0,0.0,0.0
19 days,0.0,0.0,0.0
20 days,0.0,0.0,0.0
21 days,0.0,0.0,0.0
22 days,0.0,0.0,0.0
23 days,0.0,0.0,0.0
24 days,0.0,0.0,0.0
25 days,0.0,0.0,0.0
26 days,1.0,0.0,0.0
27 days,5.0,0.0,0.0
28 days,0.0,0.0,0.0
29 days,5.0,0.0,0.0
30 days,2.0,0.0,0.0
31 days,1.0,0.0,0.0
32 days,6.0,0.0,0.0
33 days,14.0,0.0,0.0
34 days,59.0,0.0,0.0
35 days,7.0,0.0,0.0
36 days,60.0,0.0,0.0
37 days,42.0,0.0,0.0
38 days,45.0,0.0,1.0
39 days,107.0,0.0,0.0
40 days,145.0,1.0,0.0
41 days,99.0,0.0,0.0
42 days,215.0,0.0,0.0
43 days,147.0,1.0,0.0
44 days,61.0,1.0,0.0
45 days,81.0,3.0,0.0
46 days,87.0,1.0,0.0
47 days,89.0,3.0,0.0
48 days,160.0,1.0,15.0
49 days,200.0,5.0,0.0
50 days,124.0,4.0,0.0
51 days,171.0,1.0,0.0
52 days,112.0,4.0,0.0
53 days,240.0,11.0,0.0
54 days,240.0,26.0,0.0
55 days,314.0,15.0,0.0
56 days,229.0,28.0,0.0
57 days,378.0,0.0,0.0
58 days,253.0,5.0,0.0
59 days,328.0,36.0,0.0
60 days,407.0,34.0,0.0
61 days,512.0,59.0,87.0
62 days,621.0,69.0,0.0
63 days,563.0,50.0,102.0
64 days,312.0,15.0,0.0
65 days,387.0,28.0,0.0
66 days,376.0,76.0,0.0
67 days,487.0,114.0,0.0
68 days,726.0,96.0,0.0
69 days,722.0,106.0,0.0
70 days,544.0,77.0,176.0
71 days,466.0,17.0,0.0
72 days,332.0,12.0,0.0
73 days,465.0,20.0,0.0
74 days,497.0,114.0,0.0
75 days,482.0,170.0,0.0
76 days,613.0,130.0,169.0
77 days,676.0,67.0,0.0
78 days,606.0,111.0,0.0
79 days,563.0,29.0,0.0
80 days,392.0,40.0,0.0
81 days,545.0,185.0,0.0
82 days,682.0,172.0,0.0
83 days,751.0,84.0,0.0
84 days,812.0,131.0,455.0
85 days,610.0,40.0,0.0
86 days,463.0,2.0,0.0
87 days,286.0,80.0,0.0
88 days,695.0,81.0,0.0
89 days,681.0,107.0,0.0
90 days,790.0,124.0,0.0
91 days,428.0,67.0,0.0
92 days,562.0,16.0,0.0
93 days,235.0,10.0,0.0
94 days,404.0,90.0,3069.0
95 days,495.0,85.0,0.0
96 days,702.0,87.0,0.0
97 days,705.0,99.0,897.0
98 days,642.0,135.0,0.0
99 days,656.0,45.0,0.0
100 days,401.0,5.0,0.0
101 days,348.0,31.0,0.0
102 days,602.0,57.0,0.0
103 days,637.0,147.0,0.0
