Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,0,0,0
12 days,0,0,0
13 days,0,0,0
14 days,0,0,0
15 days,0,0,0
16 days,0,0,0
17 days,0,0,0
18 days,0,0,0
19 days,0,0,0
20 days,0,0,0
21 days,0,0,0
22 days,0,0,0
23 days,0,0,0
24 days,0,0,0
25 days,0,0,0
26 days,0,0,0
27 days,2,0,0
28 days,2,0,0
29 days,3,0,0
30 days,2,0,0
31 days,3,0,0
32 days,3,0,0
33 days,7,0,0
34 days,26,0,0
35 days,27,0,0
36 days,42,0,0
37 days,36,0,0
38 days,49,0,0
39 days,65,0,0
40 days,99,0,0
41 days,117,0,0
42 days,153,0,0
43 days,154,0,0
44 days,141,1,0
45 days,96,2,0
46 days,76,2,0
47 days,86,2,0
48 days,112,2,5
49 days,150,3,5
50 days,161,3,5
51 days,165,3,0
52 days,136,3,0
53 days,174,5,0
54 days,197,14,0
55 days,265,17,0
56 days,261,23,0
57 days,307,14,0
58 days,287,11,0
59 days,320,14,0
60 days,329,25,0
61 days,416,43,29
62 days,513,54,29
63 days,565,59,63
64 days,499,45,34
65 days,421,31,34
66 days,358,40,0
67 days,417,73,0
68 days,530,95,0
69 days,645,105,0
70 days,664,93,59
71 days,577,67,59
72 days,447,35,59
73 days,421,16,0
74 days,431,49,0
75 days,481,101,0
76 days,531,138,56
77 days,590,122,56
78 days,632,103,56
79 days,615,69,0
80 days,520,60,0
81 days,500,85,0
82 days,540,132,0
