Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,7.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,10.0,0.0,0.0
5 days,9.0,0.0,0.0
6 days,15.0,0.0,0.0
7 days,14.0,0.0,2.0
8 days,34.0,0.0,1.0
9 days,24.0,1.0,0.0
10 days,100.0,0.0,0.0
11 days,54.0,0.0,0.0
12 days,69.0,1.0,0.0
13 days,37.0,0.0,0.0
14 days,117.0,1.0,0.0
15 days,161.0,1.0,1.0
16 days,0.0,0.0,0.0
17 days,487.0,7.0,0.0
18 days,220.0,2.0,0.0
19 days,841.0,1.0,0.0
20 days,0.0,0.0,0.0
21 days,500.0,13.0,0.0
22 days,328.0,1.0,11.0
23 days,1047.0,13.0,0.0
24 days,1219.0,13.0,0.0
25 days,1281.0,21.0,0.0
26 days,899.0,23.0,116.0
27 days,1321.0,22.0,0.0
28 days,1082.0,2.0,0.0
29 days,1020.0,31.0,0.0
30 days,914.0,38.0,0.0
31 days,1117.0,40.0,1399.0
32 days,1148.0,33.0,0.0
33 days,753.0,36.0,65.0
34 days,1093.0,59.0,228.0
35 days,683.0,74.0,0.0
36 days,1163.0,55.0,1144.0
37 days,1059.0,48.0,1046.0
38 days,779.0,55.0,833.0
39 days,899.0,75.0,1569.0
40 days,595.0,49.0,0.0
41 days,557.0,50.0,1641.0
42 days,596.0,56.0,648.0
43 days,1027.0,74.0,1096.0
44 days,771.0,53.0,800.0
45 days,500.0,54.0,500.0
46 days,556.0,34.0,1000.0
47 days,308.0,70.0,600.0
48 days,273.0,32.0,1000.0
49 days,248.0,36.0,0.0
50 days,400.0,65.0,1700.0
51 days,396.0,42.0,500.0
52 days,346.0,46.0,500.0
53 days,326.0,41.0,700.0
54 days,336.0,25.0,700.0
55 days,204.0,36.0,800.0
56 days,119.0,49.0,800.0
57 days,205.0,31.0,500.0
58 days,228.0,40.0,700.0
59 days,181.0,40.0,400.0
60 days,217.0,10.0,300.0
61 days,167.0,11.0,500.0
62 days,103.0,55.0,400.0
63 days,100.0,34.0,400.0
64 days,143.0,17.0,0.0
65 days,179.0,21.0,800.0
66 days,119.0,17.0,500.0
67 days,112.0,8.0,300.0
68 days,88.0,0.0,300.0
69 days,76.0,22.0,700.0
70 days,28.0,11.0,200.0
71 days,51.0,10.0,300.0
72 days,66.0,5.0,200.0
73 days,81.0,13.0,200.0
74 days,44.0,7.0,300.0
75 days,54.0,3.0,200.0
76 days,39.0,12.0,200.0
77 days,36.0,22.0,0.0
78 days,33.0,3.0,300.0
