Dates,Infected,Dead,Recovered
1 days,3,0,0
2 days,2,0,0
3 days,6,0,0
4 days,6,0,0
5 days,11,0,0
6 days,13,0,1
7 days,21,0,1
8 days,24,0,1
9 days,53,0,0
10 days,59,0,0
11 days,74,0,0
12 days,53,0,0
13 days,74,1,0
14 days,105,1,0
15 days,93,1,0
16 days,216,3,0
17 days,236,3,0
18 days,516,3,0
19 days,354,1,0
20 days,447,5,0
21 days,276,5,4
22 days,625,9,4
23 days,865,9,4
24 days,1182,16,0
25 days,1133,19,39
26 days,1167,22,39
27 days,1101,16,39
28 days,1141,18,0
29 days,1005,24,0
30 days,1017,36,466
31 days,1060,37,466
32 days,1006,36,488
33 days,998,43,98
34 days,843,56,98
35 days,980,63,457
36 days,968,59,730
37 days,1000,53,1008
38 days,912,59,1149
39 days,758,60,801
40 days,684,58,1070
41 days,583,52,763
42 days,727,60,1128
43 days,798,61,848
44 days,766,60,799
45 days,609,47,767
46 days,455,53,700
47 days,379,45,867
48 days,276,46,533
49 days,307,44,900
50 days,348,48,733
51 days,381,51,900
52 days,356,43,567
53 days,336,37,633
54 days,289,34,733
55 days,220,37,767
56 days,176,39,700
57 days,184,40,667
58 days,205,37,533
59 days,209,30,467
60 days,188,20,400
61 days,162,25,400
62 days,123,33,433
63 days,115,35,267
64 days,141,24,400
65 days,147,18,433
66 days,137,15,533
67 days,106,8,367
68 days,92,10,433
69 days,64,11,400
70 days,52,14,400
71 days,48,9,233
72 days,66,9,233
73 days,64,8,233
74 days,60,8,233
75 days,46,7,233
76 days,43,12,133
77 days,36,12,167
