Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,1,0,0
3 days,2,0,0
4 days,1,0,0
5 days,1,0,0
6 days,1,0,0
7 days,1,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,0,0,0
12 days,2,0,0
13 days,2,0,0
14 days,2,0,0
15 days,1,0,0
16 days,1,0,0
17 days,0,0,0
18 days,0,0,0
19 days,0,0,0
20 days,0,0,0
21 days,0,0,0
22 days,1,0,0
23 days,1,0,0
24 days,1,0,0
25 days,1,0,0
26 days,1,0,0
27 days,1,0,0
28 days,1,0,0
29 days,1,0,0
30 days,1,0,1
31 days,2,0,1
32 days,1,0,1
33 days,1,0,0
34 days,1,0,0
35 days,2,0,1
36 days,3,0,1
37 days,2,0,2
38 days,1,0,1
39 days,1,0,1
40 days,1,0,0
41 days,1,0,0
42 days,1,0,0
43 days,0,0,0
44 days,0,0,1
45 days,1,0,2
46 days,1,0,1
47 days,1,0,2
48 days,1,0,1
49 days,2,0,1
50 days,3,0,0
51 days,6,0,0
52 days,8,0,1
53 days,14,0,1
54 days,14,0,2
55 days,19,0,1
56 days,18,0,2
57 days,20,0,1
58 days,20,0,1
59 days,21,0,0
60 days,22,0,0
61 days,19,0,0
62 days,17,0,0
63 days,16,0,0
64 days,15,0,0
65 days,13,1,3
66 days,13,1,3
67 days,10,1,3
68 days,11,0,2
69 days,9,0,4
70 days,9,0,4
71 days,8,0,2
72 days,8,0,2
73 days,7,0,2
74 days,5,0,4
75 days,2,0,3
76 days,2,0,11
77 days,2,0,13
78 days,3,0,14
79 days,4,0,6
80 days,3,0,8
81 days,2,0,5
82 days,1,0,15
83 days,1,0,14
84 days,1,0,18
85 days,8,0,11
86 days,9,0,12
87 days,9,0,13
88 days,2,0,16
89 days,2,0,17
90 days,1,0,16
91 days,1,0,13
92 days,1,0,9
93 days,0,0,9
94 days,0,0,11
95 days,0,0,10
96 days,0,0,11
97 days,0,0,6
98 days,1,0,4
99 days,2,0,3
100 days,3,0,3
101 days,2,0,3
102 days,1,0,2
103 days,1,0,4
104 days,1,0,7
105 days,0,0,7
106 days,0,0,6
107 days,0,0,4
108 days,0,0,4
109 days,0,0,3
