Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,2,0,0
3 days,2,0,0
4 days,1,0,0
5 days,2,0,0
6 days,2,0,0
7 days,2,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,1,0,0
12 days,0,0,0
13 days,2,0,0
14 days,2,0,0
15 days,2,0,0
16 days,0,0,0
17 days,0,0,1
18 days,0,0,1
19 days,1,0,0
20 days,1,0,0
21 days,1,0,1
22 days,1,0,1
23 days,0,0,1
24 days,3,1,0
25 days,2,1,0
26 days,2,1,0
27 days,6,0,1
28 days,7,0,1
29 days,19,0,2
30 days,15,0,1
31 days,31,1,1
32 days,20,0,0
33 days,25,1,0
34 days,36,2,0
35 days,36,2,0
36 days,38,1,0
37 days,10,0,0
38 days,15,0,12
39 days,5,0,12
40 days,5,0,12
41 days,0,0,0
42 days,0,0,0
43 days,60,2,40
44 days,60,2,40
45 days,60,2,40
46 days,0,0,0
47 days,0,0,0
48 days,0,0,0
49 days,0,0,0
50 days,0,0,0
51 days,0,0,0
52 days,10,2,5
53 days,10,2,5
54 days,10,2,5
55 days,0,0,0
56 days,0,0,0
57 days,0,0,0
