Dates,Infected,Dead,Recovered
2 days,2,0,0
3 days,2,0,1
4 days,1,0,1
5 days,2,0,2
6 days,2,0,1
7 days,2,0,1
8 days,2,0,0
9 days,2,0,0
10 days,2,0,0
11 days,0,0,0
12 days,2,0,0
13 days,2,0,0
14 days,2,0,0
15 days,0,0,0
16 days,2,0,2
17 days,2,0,2
18 days,2,0,2
19 days,0,0,0
20 days,0,0,0
21 days,0,0,1
22 days,0,0,1
23 days,0,0,1
24 days,0,0,1
25 days,1,0,1
26 days,1,0,1
27 days,0,0,0
28 days,0,0,0
29 days,0,0,1
30 days,0,0,1
31 days,0,0,2
32 days,0,0,1
33 days,1,0,2
34 days,2,0,0
35 days,2,0,0
36 days,1,0,2
37 days,1,0,2
38 days,1,0,2
39 days,1,0,1
40 days,0,0,1
41 days,0,0,1
42 days,1,0,0
43 days,2,0,0
44 days,2,0,0
45 days,1,0,0
46 days,1,0,0
47 days,1,0,1
48 days,3,0,1
49 days,7,0,1
50 days,7,0,1
51 days,8,0,0
52 days,15,0,0
53 days,24,0,0
54 days,32,0,2
55 days,33,0,2
56 days,42,0,2
57 days,48,0,0
58 days,66,0,0
59 days,109,0,1
60 days,133,0,1
61 days,139,1,3
62 days,112,1,9
63 days,108,1,15
64 days,103,0,15
65 days,104,1,9
66 days,114,1,3
67 days,129,1,44
68 days,135,1,82
69 days,128,2,136
70 days,117,2,92
71 days,109,3,90
72 days,99,3,56
73 days,98,3,96
74 days,81,2,60
75 days,64,2,71
76 days,67,2,32
77 days,68,2,49
78 days,72,2,42
79 days,50,2,82
80 days,43,2,93
81 days,35,2,92
82 days,32,2,90
83 days,31,2,93
84 days,31,2,102
85 days,29,2,95
86 days,30,1,97
87 days,31,0,112
88 days,31,0,103
89 days,26,0,107
90 days,20,1,141
