Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,0,0,0
12 days,0,0,0
13 days,0,0,0
14 days,3,0,0
15 days,5,0,0
16 days,5,0,0
17 days,3,0,0
18 days,1,0,0
19 days,2,0,0
20 days,2,0,0
21 days,2,0,0
22 days,1,0,0
23 days,1,0,0
24 days,2,0,0
25 days,3,0,3
26 days,4,0,3
27 days,3,0,5
28 days,2,1,2
29 days,2,0,2
30 days,2,0,1
31 days,6,0,2
32 days,8,0,2
33 days,9,0,1
34 days,5,0,0
35 days,4,0,1
36 days,2,0,1
37 days,1,0,2
38 days,0,0,1
39 days,0,0,2
40 days,2,0,2
41 days,1,1,5
42 days,2,1,5
43 days,1,1,5
44 days,1,0,2
45 days,0,0,2
46 days,1,0,2
47 days,1,0,1
