Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,1,0,0
3 days,2,0,0
4 days,2,0,0
5 days,1,0,0
6 days,14,0,0
7 days,14,0,0
8 days,14,0,0
9 days,3,0,0
10 days,3,0,0
11 days,5,0,0
12 days,3,1,0
13 days,5,1,0
14 days,4,1,0
15 days,5,0,0
16 days,4,0,0
17 days,4,1,0
18 days,4,1,0
19 days,4,1,0
20 days,4,0,0
21 days,3,1,0
22 days,2,1,0
23 days,1,1,0
24 days,1,0,0
25 days,1,0,0
26 days,1,0,0
27 days,2,0,4
28 days,1,0,5
29 days,1,0,5
30 days,0,0,2
31 days,0,0,1
32 days,0,0,1
33 days,0,0,1
34 days,0,0,1
35 days,0,0,0
36 days,0,0,1
37 days,0,0,2
38 days,0,0,5
39 days,0,0,9
40 days,0,0,7
41 days,0,0,5
42 days,0,0,2
43 days,0,0,4
44 days,0,0,2
45 days,0,0,6
46 days,0,0,4
47 days,0,0,8
48 days,0,0,6
49 days,0,0,7
50 days,0,0,5
51 days,0,0,5
52 days,0,0,3
53 days,0,0,1
54 days,0,0,0
55 days,0,0,0
56 days,0,0,1
57 days,0,0,1
58 days,0,0,1
59 days,0,0,0
