Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,1.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,3.0,0.0,0.0
7 days,2.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,9.0,0.0,0.0
10 days,2.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,2.0,0.0,0.0
13 days,4.0,0.0,0.0
14 days,5.0,0.0,0.0
15 days,10.0,1.0,0.0
16 days,15.0,0.0,0.0
17 days,6.0,0.0,0.0
18 days,15.0,2.0,1.0
19 days,14.0,0.0,0.0
20 days,25.0,1.0,0.0
21 days,59.0,1.0,1.0
22 days,24.0,1.0,0.0
23 days,30.0,0.0,0.0
24 days,51.0,2.0,0.0
25 days,34.0,0.0,0.0
26 days,0.0,0.0,1.0
27 days,82.0,2.0,0.0
28 days,29.0,2.0,2.0
29 days,32.0,2.0,0.0
30 days,40.0,4.0,0.0
31 days,58.0,0.0,0.0
32 days,21.0,4.0,0.0
33 days,22.0,0.0,0.0
34 days,27.0,1.0,20.0
35 days,5.0,1.0,0.0
36 days,15.0,1.0,0.0
37 days,28.0,0.0,0.0
38 days,14.0,3.0,18.0
39 days,22.0,3.0,0.0
40 days,19.0,3.0,0.0
41 days,21.0,0.0,0.0
42 days,33.0,1.0,0.0
43 days,42.0,2.0,0.0
44 days,42.0,0.0,0.0
45 days,0.0,0.0,0.0
46 days,15.0,1.0,0.0
47 days,5.0,0.0,105.0
48 days,0.0,0.0,0.0
49 days,25.0,0.0,42.0
50 days,9.0,0.0,0.0
51 days,4.0,0.0,4.0
52 days,17.0,0.0,13.0
53 days,10.0,0.0,9.0
54 days,18.0,1.0,63.0
55 days,8.0,1.0,0.0
56 days,5.0,0.0,15.0
57 days,14.0,1.0,11.0
58 days,4.0,0.0,11.0
59 days,11.0,1.0,7.0
60 days,4.0,0.0,5.0
61 days,5.0,1.0,78.0
62 days,4.0,0.0,76.0
63 days,3.0,0.0,109.0
64 days,1.0,1.0,9.0
65 days,4.0,1.0,38.0
66 days,2.0,0.0,22.0
67 days,0.0,0.0,40.0
68 days,0.0,0.0,27.0
69 days,0.0,0.0,13.0
70 days,0.0,0.0,19.0
