Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,1,0,0
7 days,2,0,0
8 days,2,0,0
9 days,4,0,0
10 days,4,0,0
11 days,4,0,0
12 days,1,0,0
13 days,2,0,0
14 days,4,0,0
15 days,6,0,0
16 days,10,0,0
17 days,10,0,0
18 days,12,1,0
19 days,12,1,0
20 days,18,1,0
21 days,33,1,0
22 days,36,1,0
23 days,38,1,0
24 days,35,1,0
25 days,38,1,0
26 days,28,1,0
27 days,39,1,0
28 days,37,1,1
29 days,48,2,1
30 days,34,3,1
31 days,43,2,0
32 days,40,3,0
33 days,34,1,0
34 days,23,2,7
35 days,18,1,7
36 days,16,1,7
37 days,16,1,0
38 days,19,1,6
39 days,21,2,6
40 days,18,3,6
41 days,21,2,0
42 days,24,1,0
43 days,32,1,0
44 days,39,1,0
45 days,28,1,0
46 days,19,0,0
47 days,7,0,35
48 days,7,0,35
49 days,10,0,49
50 days,11,0,14
51 days,13,0,15
52 days,10,0,6
53 days,10,0,9
54 days,15,0,28
55 days,12,1,24
56 days,10,1,26
57 days,9,1,9
58 days,8,0,12
59 days,10,1,10
60 days,6,0,8
61 days,7,1,30
62 days,4,0,53
