Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,4.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,1.0,0.0,0.0
5 days,12.0,0.0,0.0
6 days,29.0,1.0,0.0
7 days,51.0,0.0,0.0
8 days,94.0,2.0,0.0
9 days,167.0,1.0,0.0
10 days,311.0,5.0,0.0
11 days,566.0,21.0,0.0
12 days,293.0,7.0,0.0
13 days,343.0,7.0,0.0
14 days,561.0,15.0,26.0
15 days,1196.0,16.0,0.0
16 days,2069.0,17.0,16.0
17 days,1704.0,16.0,28.0
18 days,1815.0,23.0,35.0
19 days,1610.0,37.0,57.0
20 days,2704.0,46.0,81.0
21 days,2148.0,63.0,90.0
22 days,2456.0,79.0,82.0
23 days,2786.0,69.0,69.0
24 days,3013.0,76.0,302.0
25 days,3135.0,73.0,256.0
26 days,3148.0,75.0,284.0
27 days,3892.0,76.0,256.0
28 days,4117.0,87.0,264.0
29 days,4056.0,96.0,296.0
30 days,4747.0,98.0,281.0
31 days,5138.0,95.0,542.0
32 days,4789.0,97.0,481.0
33 days,4093.0,98.0,511.0
34 days,4062.0,107.0,842.0
35 days,4281.0,115.0,875.0
36 days,4801.0,125.0,1415.0
37 days,4353.0,126.0,1542.0
38 days,3783.0,121.0,1822.0
39 days,3977.0,127.0,1523.0
40 days,4674.0,123.0,1454.0
41 days,4611.0,119.0,1488.0
42 days,3083.0,117.0,1559.0
