Dates,Infected,Dead,Recovered
2 days,2,0,0
3 days,1,0,0
4 days,2,0,0
5 days,4,0,0
6 days,14,0,0
7 days,31,0,0
8 days,58,1,0
9 days,104,1,0
10 days,191,3,0
11 days,348,9,0
12 days,390,11,0
13 days,401,12,0
14 days,399,10,9
15 days,700,13,9
16 days,1275,16,14
17 days,1656,16,15
18 days,1863,19,26
19 days,1710,25,40
20 days,2043,35,58
21 days,2154,49,76
22 days,2436,63,84
23 days,2463,70,80
24 days,2752,75,151
25 days,2978,73,209
26 days,3099,75,281
27 days,3392,75,265
28 days,3719,79,268
29 days,4022,86,272
30 days,4307,94,280
31 days,4647,96,373
32 days,4891,97,435
33 days,4673,97,511
34 days,4315,101,611
35 days,4145,107,743
36 days,4381,116,1044
37 days,4478,122,1277
38 days,4312,124,1593
39 days,4038,125,1629
40 days,4145,124,1600
41 days,4421,123,1488
42 days,4123,120,1500
