Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,3.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,2.0,0.0,0.0
8 days,1.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,3.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,0.0,0.0,0.0
13 days,0.0,0.0,0.0
14 days,0.0,0.0,0.0
15 days,0.0,0.0,0.0
16 days,0.0,0.0,3.0
17 days,0.0,0.0,0.0
18 days,1.0,0.0,0.0
19 days,0.0,0.0,0.0
20 days,1.0,0.0,0.0
21 days,0.0,0.0,0.0
22 days,0.0,0.0,0.0
23 days,0.0,0.0,0.0
24 days,0.0,0.0,0.0
25 days,0.0,0.0,0.0
26 days,0.0,0.0,0.0
27 days,0.0,0.0,0.0
28 days,2.0,0.0,2.0
29 days,0.0,0.0,0.0
30 days,0.0,0.0,0.0
31 days,36.0,0.0,0.0
32 days,0.0,0.0,1.0
33 days,6.0,0.0,0.0
34 days,1.0,0.0,0.0
35 days,2.0,0.0,1.0
36 days,8.0,1.0,0.0
37 days,6.0,0.0,0.0
38 days,24.0,5.0,0.0
39 days,20.0,1.0,0.0
40 days,31.0,4.0,0.0
41 days,68.0,1.0,0.0
42 days,45.0,2.0,0.0
43 days,140.0,3.0,0.0
44 days,116.0,4.0,0.0
45 days,65.0,1.0,0.0
46 days,376.0,6.0,1.0
47 days,322.0,8.0,0.0
48 days,382.0,5.0,4.0
49 days,516.0,8.0,0.0
50 days,548.0,9.0,0.0
51 days,772.0,15.0,0.0
52 days,1133.0,26.0,5.0
53 days,1789.0,34.0,0.0
54 days,1362.0,31.0,88.0
55 days,5964.0,94.0,16.0
56 days,5526.0,91.0,26.0
57 days,6327.0,93.0,29.0
58 days,7676.0,144.0,2.0
59 days,10567.0,200.0,0.0
60 days,9893.0,222.0,170.0
61 days,12042.0,308.0,13.0
62 days,18058.0,410.0,320.0
63 days,17821.0,539.0,188.0
64 days,19808.0,466.0,203.0
65 days,19444.0,689.0,1593.0
66 days,20922.0,772.0,2979.0
67 days,26341.0,1175.0,1380.0
68 days,25070.0,1134.0,1450.0
69 days,30380.0,1420.0,527.0
70 days,31745.0,1325.0,706.0
71 days,33283.0,1609.0,4945.0
72 days,28152.0,1520.0,2796.0
73 days,29515.0,1519.0,2133.0
74 days,30804.0,2297.0,2182.0
75 days,31533.0,2079.0,1796.0
76 days,34126.0,1985.0,1851.0
77 days,33755.0,2078.0,3380.0
78 days,29861.0,2009.0,2480.0
79 days,28917.0,1744.0,1718.0
80 days,25306.0,1784.0,10494.0
81 days,27051.0,2392.0,4281.0
82 days,28680.0,2472.0,4333.0
83 days,31242.0,2093.0,2607.0
84 days,32114.0,2584.0,3842.0
85 days,32491.0,2342.0,6295.0
86 days,26612.0,1192.0,5497.0
87 days,25517.0,1714.0,1992.0
88 days,27539.0,2427.0,2875.0
89 days,28486.0,2326.0,2162.0
90 days,28819.0,2312.0,2837.0
91 days,36188.0,1769.0,18876.0
92 days,32796.0,2262.0,1293.0
93 days,27631.0,1126.0,6616.0
94 days,22412.0,1338.0,4436.0
95 days,24385.0,2136.0,4512.0
96 days,27327.0,2612.0,4784.0
97 days,29515.0,2029.0,33227.0
98 days,34037.0,1947.0,10068.0
99 days,29078.0,1426.0,11367.0
100 days,25501.0,1313.0,4770.0
101 days,22335.0,1240.0,7028.0
102 days,23976.0,2142.0,2611.0
103 days,24980.0,2391.0,119.0
104 days,27692.0,2207.0,5126.0
105 days,26906.0,1518.0,3957.0
106 days,25621.0,1615.0,13541.0
107 days,19710.0,731.0,3635.0
108 days,18621.0,1156.0,14118.0
109 days,21495.0,1674.0,0.0
110 days,21030.0,1763.0,13143.0
