Dates,Infected,Dead,Recovered
2 days,1,0,0
3 days,1,0,0
4 days,1,0,0
5 days,0,0,0
6 days,0,0,0
7 days,1,0,0
8 days,1,0,0
9 days,1,0,0
10 days,1,0,0
11 days,1,0,0
12 days,1,0,0
13 days,0,0,0
14 days,0,0,0
15 days,0,0,0
16 days,0,0,1
17 days,0,0,1
18 days,0,0,1
19 days,0,0,0
20 days,1,0,0
21 days,0,0,0
22 days,0,0,0
23 days,0,0,0
24 days,0,0,0
25 days,0,0,0
26 days,0,0,0
27 days,0,0,0
28 days,1,0,1
29 days,1,0,1
30 days,1,0,1
31 days,12,0,0
32 days,12,0,0
33 days,14,0,0
34 days,2,0,0
35 days,3,0,0
36 days,4,0,0
37 days,5,0,0
38 days,13,2,0
39 days,17,2,0
40 days,25,3,0
41 days,40,2,0
42 days,48,2,0
43 days,84,2,0
44 days,100,3,0
45 days,107,3,0
46 days,186,4,0
47 days,254,5,0
48 days,360,6,2
49 days,407,6,1
50 days,482,6,1
51 days,612,8,0
52 days,818,13,2
53 days,1231,18,2
54 days,1428,18,31
55 days,3038,38,35
56 days,4284,45,43
57 days,5939,63,24
58 days,6510,72,19
59 days,8190,104,10
60 days,9379,133,57
61 days,10834,175,61
62 days,13331,217,168
63 days,15974,292,174
64 days,18562,361,237
65 days,19024,419,661
66 days,20058,466,1592
67 days,22236,616,1984
68 days,24111,764,1936
69 days,27264,984,1119
70 days,29065,1072,894
71 days,31803,1216,2059
72 days,31060,1230,2816
73 days,30317,1231,3291
74 days,29490,1462,2370
75 days,30617,1695,2037
76 days,32154,1920,1943
77 days,33138,1934,2342
78 days,32581,1922,2570
79 days,30844,1828,2526
80 days,28028,1648,4897
81 days,27091,1791,5498
82 days,27012,2103,6369
83 days,28991,3131,3740
84 days,30679,3648,3594
85 days,31949,3442,4248
86 days,30406,2577,5211
87 days,28207,1769,4595
88 days,26613,1927,3455
89 days,26955,1974,2343
