Dates,Infected,Dead,Recovered
2 days,3,0,0
3 days,3,0,0
4 days,4,0,0
5 days,2,0,0
6 days,5,0,0
7 days,5,0,0
8 days,6,0,0
9 days,3,0,0
10 days,5,0,0
11 days,4,0,0
12 days,4,0,0
13 days,1,0,0
14 days,1,0,0
15 days,2,0,0
16 days,1,0,0
17 days,1,0,0
18 days,0,0,0
19 days,0,0,0
20 days,0,0,0
21 days,0,0,1
22 days,0,0,1
23 days,0,0,2
24 days,1,0,1
25 days,0,0,3
26 days,0,0,4
27 days,0,0,4
28 days,0,0,3
29 days,0,0,3
30 days,0,0,6
31 days,2,0,5
32 days,3,0,6
33 days,6,0,3
34 days,5,0,3
35 days,4,0,0
36 days,2,0,0
37 days,1,0,0
38 days,1,0,2
39 days,1,0,2
40 days,1,0,2
41 days,2,0,0
42 days,2,0,0
43 days,2,0,0
44 days,4,0,1
45 days,3,0,1
