Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,2.0,1.0,0.0
11 days,0.0,0.0,0.0
12 days,0.0,0.0,0.0
13 days,4.0,0.0,0.0
14 days,7.0,1.0,0.0
15 days,0.0,0.0,0.0
16 days,2.0,0.0,0.0
17 days,13.0,1.0,0.0
18 days,18.0,0.0,1.0
19 days,26.0,0.0,0.0
20 days,0.0,0.0,0.0
21 days,24.0,0.0,0.0
22 days,48.0,2.0,0.0
23 days,51.0,0.0,0.0
24 days,114.0,0.0,4.0
25 days,46.0,4.0,0.0
26 days,119.0,1.0,1.0
27 days,73.0,3.0,2.0
28 days,97.0,4.0,2.0
29 days,149.0,3.0,3.0
30 days,103.0,2.0,6.0
31 days,175.0,5.0,3.0
32 days,153.0,5.0,3.0
33 days,83.0,5.0,3.0
34 days,11.0,1.0,0.0
35 days,143.0,7.0,0.0
36 days,206.0,7.0,7.0
37 days,224.0,5.0,10.0
38 days,311.0,12.0,16.0
39 days,308.0,4.0,18.0
40 days,266.0,10.0,10.0
41 days,325.0,10.0,8.0
42 days,270.0,5.0,22.0
43 days,392.0,10.0,24.0
44 days,397.0,8.0,43.0
45 days,501.0,9.0,60.0
46 days,444.0,8.0,29.0
47 days,343.0,8.0,72.0
48 days,261.0,10.0,12.0
49 days,415.0,10.0,8.0
50 days,467.0,13.0,57.0
