Dates,Infected,Dead,Recovered
1 days,0,0,0
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,1,0,0
10 days,1,0,0
11 days,1,0,0
12 days,1,0,0
13 days,4,0,0
14 days,4,0,0
15 days,3,0,0
16 days,5,0,0
17 days,11,0,0
18 days,19,0,0
19 days,15,0,0
20 days,17,0,0
21 days,24,1,0
22 days,41,1,0
23 days,71,1,1
24 days,70,1,1
25 days,93,2,2
26 days,79,3,1
27 days,96,3,2
28 days,106,3,2
29 days,116,3,4
30 days,142,3,4
31 days,144,4,4
32 days,137,5,3
33 days,82,4,2
34 days,79,4,1
35 days,120,5,2
36 days,191,6,6
37 days,247,8,11
38 days,281,7,15
39 days,295,9,15
40 days,300,8,12
41 days,287,8,13
42 days,329,8,18
43 days,353,8,30
44 days,430,9,42
45 days,447,8,44
46 days,429,8,54
47 days,349,9,38
48 days,340,9,31
49 days,381,11,26
50 days,487,12,48
51 days,507,13,138
52 days,511,9,119
53 days,482,7,112
54 days,454,6,27
55 days,428,13,70
56 days,416,14,88
57 days,466,14,125
58 days,484,11,140
59 days,515,10,132
60 days,502,9,103
61 days,490,10,69
62 days,429,12,126
63 days,424,13,183
64 days,453,12,259
65 days,499,15,277
66 days,509,16,271
67 days,514,17,221
68 days,484,16,194
69 days,438,16,155
70 days,398,16,219
