Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,1,0,0
10 days,1,0,0
11 days,1,0,0
12 days,0,0,0
13 days,0,0,0
14 days,0,0,0
15 days,0,0,0
16 days,0,0,1
17 days,0,0,1
18 days,0,0,1
19 days,0,0,0
20 days,0,0,0
21 days,0,0,0
22 days,0,0,0
23 days,1,0,0
24 days,1,0,0
25 days,1,0,0
26 days,0,0,0
27 days,0,0,0
28 days,0,0,0
29 days,2,0,0
30 days,3,0,0
31 days,3,0,0
32 days,1,0,0
33 days,2,0,0
34 days,2,0,0
35 days,3,0,0
36 days,1,0,0
37 days,6,0,1
38 days,5,0,1
39 days,5,0,1
40 days,10,0,2
41 days,10,0,3
42 days,13,0,3
43 days,4,0,2
44 days,4,0,0
45 days,4,0,2
46 days,4,0,2
47 days,4,0,2
48 days,5,0,1
49 days,14,0,3
50 days,14,1,3
51 days,13,1,4
52 days,4,1,2
53 days,19,0,2
54 days,32,0,2
55 days,60,0,5
56 days,45,0,5
57 days,52,0,2
58 days,45,0,0
59 days,79,0,2
60 days,69,1,3
61 days,65,1,3
62 days,81,2,1
63 days,138,1,12
64 days,200,1,16
65 days,230,1,21
66 days,258,1,16
67 days,271,1,20
68 days,285,1,20
69 days,287,1,32
70 days,305,1,34
71 days,334,1,77
72 days,359,3,116
73 days,378,3,137
74 days,387,3,145
75 days,399,3,115
76 days,414,4,118
77 days,435,3,81
78 days,456,3,85
79 days,312,1,51
80 days,319,2,64
81 days,321,2,57
82 days,484,3,85
83 days,486,4,87
84 days,497,4,92
85 days,509,6,106
86 days,525,6,114
87 days,531,7,114
88 days,519,6,110
89 days,522,6,98
90 days,527,7,117
91 days,547,8,113
92 days,553,7,121
93 days,557,7,112
94 days,561,7,111
95 days,564,9,141
96 days,531,9,163
97 days,525,10,199
98 days,503,9,202
99 days,534,9,228
100 days,560,9,312
101 days,653,11,411
102 days,695,9,515
103 days,748,6,572
104 days,729,3,573
