Dates,Infected,Dead,Recovered
0 days,2.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,1.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,5.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,1.0,0.0,1.0
13 days,0.0,0.0,0.0
14 days,0.0,0.0,0.0
15 days,0.0,0.0,0.0
16 days,0.0,0.0,7.0
17 days,0.0,0.0,0.0
18 days,0.0,0.0,0.0
19 days,0.0,0.0,0.0
20 days,0.0,0.0,0.0
21 days,0.0,0.0,0.0
22 days,0.0,0.0,0.0
23 days,0.0,0.0,0.0
24 days,4.0,0.0,0.0
25 days,0.0,0.0,0.0
26 days,0.0,0.0,0.0
27 days,2.0,0.0,0.0
28 days,5.0,0.0,0.0
29 days,3.0,0.0,0.0
30 days,13.0,0.0,0.0
31 days,4.0,0.0,0.0
32 days,11.0,0.0,0.0
33 days,35.0,0.0,0.0
34 days,30.0,0.0,0.0
35 days,48.0,1.0,0.0
36 days,43.0,1.0,10.0
37 days,67.0,0.0,0.0
38 days,48.0,1.0,0.0
39 days,62.0,4.0,1.0
40 days,75.0,0.0,0.0
41 days,0.0,2.0,0.0
42 days,343.0,1.0,0.0
43 days,342.0,18.0,0.0
44 days,1.0,15.0,0.0
45 days,406.0,23.0,2.0
46 days,409.0,16.0,32.0
47 days,682.0,34.0,14.0
48 days,74.0,43.0,0.0
49 days,1298.0,36.0,0.0
50 days,1053.0,56.0,0.0
51 days,678.0,35.0,0.0
52 days,981.0,74.0,0.0
53 days,1438.0,149.0,73.0
54 days,1476.0,186.0,0.0
55 days,2172.0,184.0,10.0
56 days,2933.0,284.0,1.0
57 days,2567.0,294.0,0.0
58 days,2468.0,215.0,0.0
59 days,2673.0,374.0,20.0
60 days,3028.0,383.0,8.0
61 days,4384.0,671.0,0.0
62 days,4308.0,652.0,13.0
63 days,4516.0,715.0,16.0
64 days,3788.0,761.0,7.0
65 days,5959.0,646.0,14.0
66 days,3843.0,571.0,58.0
67 days,3670.0,1038.0,17.0
68 days,5525.0,1036.0,0.0
69 days,4398.0,1104.0,0.0
70 days,8733.0,1153.0,0.0
71 days,5269.0,840.0,0.0
72 days,5332.0,686.0,0.0
73 days,4364.0,745.0,0.0
74 days,5275.0,1048.0,19.0
75 days,4638.0,846.0,45.0
76 days,4662.0,1033.0,7.0
77 days,5624.0,936.0,19.0
78 days,5545.0,1118.0,20.0
79 days,5858.0,499.0,22.0
80 days,4684.0,565.0,10.0
81 days,4316.0,1172.0,192.0
82 days,4466.0,847.0,45.0
83 days,4608.0,729.0,29.0
84 days,5394.0,1013.0,12.0
85 days,4929.0,844.0,50.0
86 days,4468.0,420.0,4.0
87 days,4311.0,341.0,29.0
88 days,4002.0,911.0,6.0
89 days,4091.0,797.0,44.0
90 days,6040.0,676.0,2.0
91 days,6204.0,741.0,33.0
92 days,4815.0,622.0,4.0
93 days,4342.0,315.0,5.0
94 days,3990.0,289.0,9.0
95 days,4411.0,692.0,16.0
96 days,6116.0,649.0,8.0
97 days,5618.0,539.0,36.0
98 days,4652.0,627.0,27.0
99 days,3896.0,346.0,4.0
100 days,3924.0,268.0,1.0
101 days,3883.0,211.0,13.0
102 days,3409.0,628.0,8.0
103 days,3244.0,495.0,9.0
