Dates,Infected,Dead,Recovered
2 days,1,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,2,0,0
11 days,2,0,0
12 days,2,0,0
13 days,0,0,0
14 days,0,0,0
15 days,0,0,0
16 days,0,0,2
17 days,0,0,2
18 days,0,0,2
19 days,0,0,0
20 days,0,0,0
21 days,0,0,0
22 days,0,0,0
23 days,0,0,0
24 days,1,0,0
25 days,1,0,0
26 days,1,0,0
27 days,1,0,0
28 days,2,0,0
29 days,3,0,0
30 days,7,0,0
31 days,7,0,0
32 days,9,0,0
33 days,17,0,0
34 days,25,0,0
35 days,38,0,0
36 days,40,1,3
37 days,53,1,3
38 days,53,1,3
39 days,59,2,0
40 days,62,2,0
41 days,46,2,0
42 days,139,1,0
43 days,228,7,0
44 days,229,11,0
45 days,250,19,1
46 days,272,18,11
47 days,499,24,16
48 days,388,31,15
49 days,685,38,5
50 days,808,45,0
51 days,1010,42,0
52 days,904,55,0
53 days,1032,86,24
54 days,1298,136,24
55 days,1695,173,28
56 days,2194,218,4
57 days,2557,254,4
58 days,2656,264,0
59 days,2569,294,7
60 days,2723,324,9
61 days,3362,476,9
62 days,3907,569,7
63 days,4403,679,10
64 days,4204,709,12
65 days,4754,707,12
66 days,4530,659,26
67 days,4491,752,30
68 days,4346,882,25
69 days,4531,1059,6
70 days,6219,1098,0
71 days,6133,1032,0
72 days,6445,893,0
73 days,4988,757,0
74 days,4990,826,6
75 days,4759,880,21
76 days,4858,976,24
77 days,4975,938,24
78 days,5277,1029,15
79 days,5676,851,20
80 days,5362,727,17
81 days,4953,745,75
82 days,4489,861,82
83 days,4463,916,89
84 days,4823,863,29
85 days,4977,862,30
86 days,4930,759,22
87 days,4569,535,28
88 days,4260,557,13
89 days,4135,683,26
90 days,4711,795,17
91 days,5445,738,26
92 days,5686,680,13
93 days,5120,559,14
94 days,4382,409,6
95 days,4248,432,10
