Dates,Infected,Dead,Recovered
0 days,4.0,0.0,0.0
1 days,2.0,0.0,0.0
2 days,2.0,0.0,0.0
3 days,21.0,0.0,0.0
4 days,21.0,0.0,0.0
5 days,29.0,0.0,0.0
6 days,15.0,0.0,0.0
7 days,16.0,0.0,0.0
8 days,25.0,0.0,0.0
9 days,23.0,0.0,0.0
10 days,4.0,0.0,0.0
11 days,27.0,0.0,0.0
12 days,28.0,0.0,0.0
13 days,21.0,0.0,0.0
14 days,36.0,0.0,0.0
15 days,29.0,1.0,0.0
16 days,6.0,0.0,0.0
17 days,11.0,0.0,0.0
18 days,18.0,0.0,41.0
19 days,12.0,1.0,21.0
20 days,19.0,2.0,6.0
21 days,17.0,0.0,18.0
22 days,14.0,1.0,7.0
23 days,6.0,1.0,11.0
24 days,9.0,0.0,19.0
25 days,9.0,1.0,27.0
26 days,32.0,0.0,42.0
27 days,17.0,0.0,14.0
28 days,7.0,0.0,8.0
29 days,0.0,0.0,10.0
30 days,0.0,0.0,7.0
31 days,3.0,1.0,17.0
32 days,9.0,0.0,12.0
33 days,1.0,1.0,12.0
34 days,9.0,0.0,14.0
35 days,6.0,0.0,8.0
36 days,9.0,0.0,4.0
37 days,11.0,1.0,0.0
38 days,7.0,0.0,15.0
39 days,8.0,2.0,11.0
40 days,6.0,0.0,13.0
41 days,8.0,0.0,17.0
42 days,6.0,0.0,15.0
43 days,33.0,2.0,1.0
44 days,10.0,1.0,5.0
45 days,14.0,0.0,11.0
46 days,5.0,0.0,8.0
47 days,5.0,0.0,18.0
48 days,13.0,2.0,5.0
49 days,5.0,0.0,18.0
50 days,4.0,0.0,5.0
51 days,3.0,0.0,2.0
52 days,2.0,0.0,5.0
53 days,13.0,0.0,21.0
54 days,3.0,0.0,18.0
55 days,11.0,0.0,6.0
56 days,10.0,1.0,14.0
57 days,8.0,0.0,7.0
58 days,5.0,1.0,4.0
59 days,4.0,0.0,6.0
60 days,6.0,0.0,9.0
61 days,2.0,0.0,13.0
