Dates,Infected,Dead,Recovered
1 days,3,0,0
2 days,8,0,0
3 days,15,0,0
4 days,24,0,0
5 days,22,0,0
6 days,20,0,0
7 days,19,0,0
8 days,21,0,0
9 days,17,0,0
10 days,18,0,0
11 days,20,0,0
12 days,25,0,0
13 days,28,0,0
14 days,29,0,0
15 days,24,0,0
16 days,15,0,0
17 days,12,0,14
18 days,14,0,21
19 days,16,1,23
20 days,16,1,15
21 days,17,1,10
22 days,12,1,12
23 days,10,1,12
24 days,8,1,19
25 days,17,0,29
26 days,19,0,28
27 days,19,0,21
28 days,8,0,11
29 days,2,0,8
30 days,1,0,11
31 days,4,0,12
32 days,4,1,14
33 days,6,0,13
34 days,5,0,11
35 days,8,0,9
36 days,9,0,4
37 days,9,0,6
38 days,9,1,9
39 days,7,1,13
40 days,7,1,14
41 days,7,0,15
42 days,16,1,11
43 days,16,1,7
44 days,19,1,6
45 days,10,0,8
46 days,8,0,12
47 days,8,1,10
48 days,8,1,14
49 days,7,1,9
50 days,4,0,8
51 days,3,0,4
52 days,6,0,9
53 days,6,0,15
54 days,9,0,15
55 days,8,0,13
56 days,10,0,9
57 days,8,1,8
58 days,6,0,6
59 days,5,0,6
60 days,4,0,9
