Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,5.0,0.0,0.0
2 days,4.0,0.0,0.0
3 days,5.0,0.0,0.0
4 days,8.0,0.0,0.0
5 days,10.0,0.0,0.0
6 days,10.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,3.0,0.0,0.0
9 days,4.0,0.0,0.0
10 days,10.0,0.0,0.0
11 days,15.0,0.0,0.0
12 days,13.0,1.0,5.0
13 days,16.0,1.0,0.0
14 days,40.0,0.0,2.0
15 days,5.0,0.0,0.0
16 days,23.0,0.0,0.0
17 days,9.0,0.0,5.0
18 days,24.0,0.0,13.0
19 days,22.0,0.0,0.0
20 days,39.0,0.0,0.0
21 days,76.0,0.0,5.0
22 days,115.0,0.0,0.0
23 days,63.0,0.0,0.0
24 days,25.0,1.0,0.0
25 days,37.0,0.0,8.0
26 days,42.0,0.0,4.0
27 days,143.0,1.0,0.0
28 days,98.0,0.0,24.0
29 days,133.0,0.0,19.0
30 days,167.0,0.0,14.0
31 days,137.0,0.0,8.0
32 days,47.0,0.0,22.0
33 days,56.0,0.0,27.0
34 days,85.0,1.0,38.0
35 days,75.0,0.0,31.0
36 days,62.0,0.0,36.0
37 days,51.0,1.0,96.0
38 days,38.0,1.0,93.0
39 days,42.0,0.0,111.0
40 days,46.0,1.0,60.0
41 days,58.0,0.0,86.0
42 days,7.0,0.0,82.0
43 days,35.0,0.0,103.0
44 days,35.0,0.0,100.0
45 days,63.0,1.0,104.0
46 days,37.0,0.0,37.0
47 days,47.0,0.0,79.0
48 days,32.0,0.0,59.0
49 days,31.0,1.0,48.0
50 days,40.0,0.0,86.0
51 days,18.0,0.0,96.0
52 days,26.0,0.0,76.0
53 days,65.0,0.0,79.0
54 days,27.0,0.0,119.0
55 days,24.0,0.0,71.0
56 days,69.0,0.0,35.0
57 days,68.0,0.0,107.0
58 days,33.0,0.0,22.0
59 days,93.0,1.0,66.0
