Dates,Infected,Dead,Recovered
1 days,3,0,0
2 days,5,0,0
3 days,6,0,0
4 days,8,0,0
5 days,9,0,0
6 days,7,0,0
7 days,4,0,0
8 days,2,0,0
9 days,6,0,0
10 days,10,0,0
11 days,13,0,2
12 days,15,1,2
13 days,23,1,2
14 days,20,0,1
15 days,23,0,1
16 days,12,0,2
17 days,19,0,6
18 days,18,0,6
19 days,28,0,4
20 days,46,0,2
21 days,77,0,2
22 days,85,0,2
23 days,68,0,0
24 days,42,0,3
25 days,35,0,4
26 days,74,0,4
27 days,94,0,9
28 days,125,0,14
29 days,133,0,19
30 days,146,0,14
31 days,117,0,15
32 days,80,0,19
33 days,63,0,29
34 days,72,0,32
35 days,74,0,35
36 days,63,0,54
37 days,50,1,75
38 days,44,1,100
39 days,42,1,88
40 days,49,0,86
41 days,37,0,76
42 days,33,0,90
43 days,26,0,95
44 days,44,0,102
45 days,45,0,80
46 days,49,0,73
47 days,39,0,58
48 days,37,0,62
49 days,34,0,64
50 days,30,0,77
51 days,28,0,86
52 days,36,0,84
53 days,39,0,91
54 days,39,0,90
55 days,40,0,75
56 days,54,0,71
57 days,57,0,55
58 days,65,0,65
