Dates,Infected,Dead,Recovered
2 days,6,0,0
3 days,10,0,0
4 days,9,0,0
5 days,8,0,0
6 days,3,0,0
7 days,11,0,0
8 days,9,0,5
9 days,12,0,5
10 days,5,0,5
11 days,7,0,0
12 days,10,0,0
13 days,8,0,5
14 days,9,1,8
15 days,4,1,8
16 days,9,1,3
17 days,5,0,0
18 days,8,0,1
19 days,4,1,1
20 days,6,1,4
21 days,4,1,4
22 days,4,1,3
23 days,4,0,4
24 days,3,0,4
25 days,3,1,4
26 days,2,1,6
27 days,2,1,6
28 days,3,0,9
29 days,3,0,3
30 days,6,0,9
31 days,5,0,6
32 days,5,0,6
33 days,5,0,0
34 days,5,0,0
35 days,10,0,1
36 days,17,0,2
37 days,17,0,2
38 days,19,0,1
39 days,11,0,2
40 days,18,0,3
41 days,11,0,5
42 days,12,0,3
43 days,5,0,4
44 days,4,0,3
45 days,2,0,3
46 days,2,0,2
47 days,1,2,0
48 days,2,0,2
49 days,5,0,2
50 days,8,-2,5
51 days,7,0,3
52 days,5,0,3
