Dates,Infected,Dead,Recovered
0 days,4.0,0.0,0.0
1 days,3.0,0.0,0.0
2 days,9.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,3.0,0.0,0.0
5 days,7.0,0.0,0.0
6 days,4.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,1.0,0.0,0.0
9 days,4.0,0.0,0.0
10 days,3.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,1.0,0.0,0.0
13 days,2.0,0.0,0.0
14 days,3.0,0.0,0.0
15 days,3.0,0.0,17.0
16 days,1.0,0.0,0.0
17 days,4.0,0.0,0.0
18 days,7.0,0.0,0.0
19 days,0.0,0.0,0.0
20 days,0.0,0.0,0.0
21 days,25.0,1.0,0.0
22 days,7.0,0.0,0.0
23 days,7.0,0.0,1.0
24 days,11.0,0.0,0.0
25 days,7.0,0.0,0.0
26 days,3.0,0.0,0.0
27 days,15.0,0.0,0.0
28 days,27.0,0.0,0.0
29 days,33.0,0.0,3.0
30 days,23.0,0.0,0.0
31 days,20.0,0.0,3.0
32 days,17.0,0.0,0.0
33 days,7.0,0.0,18.0
34 days,2.0,0.0,2.0
35 days,0.0,0.0,0.0
36 days,4.0,1.0,1.0
37 days,1.0,0.0,12.0
38 days,22.0,0.0,1.0
39 days,18.0,0.0,0.0
40 days,0.0,0.0,4.0
41 days,66.0,0.0,1.0
42 days,0.0,0.0,0.0
43 days,28.0,0.0,6.0
44 days,16.0,0.0,0.0
45 days,19.0,1.0,2.0
46 days,12.0,0.0,0.0
47 days,17.0,1.0,0.0
48 days,8.0,0.0,0.0
