Dates,Infected,Dead,Recovered
1 days,5,0,0
2 days,4,0,0
3 days,4,0,0
4 days,3,0,0
5 days,5,0,0
6 days,4,0,0
7 days,2,0,0
8 days,2,0,0
9 days,3,0,0
10 days,2,0,0
11 days,1,0,0
12 days,1,0,0
13 days,2,0,0
14 days,3,0,6
15 days,2,0,6
16 days,3,0,6
17 days,4,0,0
18 days,4,0,0
19 days,2,0,0
20 days,8,0,0
21 days,11,0,0
22 days,13,0,0
23 days,8,0,0
24 days,8,0,0
25 days,7,0,0
26 days,8,0,0
27 days,15,0,0
28 days,25,0,1
29 days,28,0,1
30 days,25,0,2
31 days,20,0,1
32 days,15,0,7
33 days,9,0,7
34 days,3,0,7
35 days,2,0,1
36 days,2,0,4
37 days,3,0,5
38 days,2,0,4
39 days,5,0,2
40 days,7,0,2
41 days,7,0,2
42 days,8,0,2
43 days,7,0,2
44 days,8,0,3
45 days,7,0,1
46 days,5,0,1
47 days,5,0,0
48 days,2,0,0
49 days,4,0,0
50 days,2,0,0
51 days,2,0,0
52 days,1,0,0
53 days,0,0,0
54 days,1,0,0
55 days,1,0,2
56 days,3,0,2
57 days,3,0,2
58 days,3,0,0
59 days,3,0,9
60 days,6,0,17
61 days,7,0,32
62 days,4,0,25
63 days,1,0,34
64 days,0,0,18
65 days,0,0,29
66 days,0,0,24
67 days,0,0,27
68 days,0,0,16
