Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,3,0,0
7 days,4,0,0
8 days,6,0,0
9 days,5,0,0
10 days,4,0,0
11 days,4,0,0
12 days,2,0,0
13 days,2,0,0
14 days,1,0,0
15 days,1,0,1
16 days,1,0,1
17 days,0,0,1
18 days,0,0,1
19 days,0,0,2
20 days,0,0,1
21 days,0,0,6
22 days,0,0,6
23 days,0,0,7
24 days,1,0,2
25 days,2,0,2
26 days,2,0,1
27 days,2,0,0
28 days,1,0,0
29 days,2,0,0
30 days,3,0,1
31 days,4,0,1
32 days,4,0,2
33 days,4,0,1
34 days,4,0,1
35 days,4,0,1
36 days,5,0,1
37 days,3,0,1
38 days,4,0,2
39 days,1,0,2
40 days,4,0,2
41 days,3,0,4
42 days,6,0,4
43 days,5,0,11
44 days,7,0,7
45 days,6,0,8
46 days,9,0,1
47 days,6,0,6
48 days,7,0,8
49 days,5,0,8
50 days,10,0,6
51 days,35,1,4
52 days,38,1,5
53 days,33,1,2
54 days,63,0,2
55 days,60,0,2
