,region,alpha,beta,lambda,loss
0,Australia,0.030759332839985006,9.31494371822178,3.3601394527377377,6.194038006993337
1,Austria,0.11738832038589145,8.47495142280109,3.9606836221174953,4.187808870518209
2,Belgium,0.2125736284446172,1.871693344285196,4.889888352898592,2.495882394829477
3,Canada,0.13265829566103152,0.18635757554894664,31.080733843811185,5.65881475558756
4,Chile,0.016302355103620773,8.984716451353632,46.350339102572434,3.7477193372998983
5,Colombia,0.10178619820997739,4.07908365836994,41.54800798460892,2.153480400520215
6,Czechia,0.017726482986380025,9.520662821163672,29.774677670236276,2.9692133727197088
7,Denmark,0.009891632727631163,8.588235580365303,21.18388806408998,3.2249966863036788
8,Estonia,0.03109918768623366,1.6531073743538562,33.719852085974445,1.3049614927720896
9,Finland,0.06435024347363939,9.566991123536233,13.855056451110288,0.8990196712366892
10,France,0.21809384819227545,0.350988440175567,12.850089398189837,2.1006983381365703
11,Germany,0.05772550034251657,2.3443791118713566,10.809168922949665,2.66192790663149
12,Greece,0.10275637527676543,2.2010299181420137,26.616850784586987,4.263803833699005
13,Hungary,0.11988093492972798,4.622842907878582,46.97057311550434,2.3260244600320603
14,Iceland,0.05303384161713044,0.8621840841910712,49.83528919017662,5.243047045041768
15,Ireland,0.12378887361549465,3.165816011875953,5.12208832143789,5.204274961084548
16,Israel,0.006920026275006987,9.43203340104454,35.74511435913718,1.9022488181482233
17,Italy,0.11786056642273038,0.4253013557890329,26.33477265315188,4.931271587191083
18,Japan,0.048922260801229536,5.398938789570002,38.1466486621389,0.9834908984140247
19,Latvia,0.07958348240172043,9.61547384546809,45.61804702983729,0.6545977006536199
20,Lithuania,0.0367479704570386,8.305276962833704,5.273688745675587,0.9366462789096529
21,Luxembourg,0.10322132612082638,8.687923629873234,2.7531437572606015,4.3400126075396495
22,Mexico,0.1559755613980032,8.00105564425492,46.868144718237616,2.4220505174718268
23,Netherlands,0.2455823880768801,0.38813069540458384,43.854828180549084,2.7084353924559923
24,New Zealand,0.5033351160109925,8.007003040220944,47.93193984244109,0.7649541640184389
25,Norway,0.06076730885385319,0.18962549576832746,34.63991980066433,1.0709748579391245
26,Poland,0.011624997800676386,2.5947946041673657,44.848008860340755,7.7309786066759205
27,Sweden,0.14474214141267275,3.581635813043316,46.593750994410726,1.4471489792857182
28,Switzerland,0.014308170022873993,1.6633814768332114,17.436302059459965,3.7795304522356967
29,Turkey,0.027964131251535858,0.5570661052303251,2.1100362025049395,12.699213971413988
30,US,0.09881160823135118,9.966953039369933,7.404139860766291,5.8944671014957155
31,United Kingdom,0.16655824051643645,3.0254172212723836,2.888851702403184,1.8262885810536187
