,Infected,Dead
2016-12-19,1,0
2016-12-23,2,0
2016-12-25,3,0
2016-12-26,4,0
2016-12-28,5,0
2016-12-29,7,0
2017-01-02,8,1
2017-01-03,11,2
2017-01-04,12,2
2017-01-07,14,2
2017-01-08,15,3
2017-01-10,15,4
2017-01-11,16,5
2017-01-12,17,5
2017-01-15,18,5
2017-01-18,20,5
2017-01-20,21,5
2017-01-21,22,5
2017-01-23,23,5
2017-01-24,24,5
2017-01-28,25,5
2017-01-29,25,6
2017-01-30,26,6
2017-01-31,26,7
2017-02-01,27,7
2017-02-03,30,8
2017-02-04,31,8
2017-02-08,32,10
2017-02-09,35,10
2017-02-10,35,11
2017-02-11,35,12
2017-02-12,37,12
2017-02-13,37,13
2017-02-14,39,13
2017-02-15,39,14
2017-02-18,40,14
2017-02-19,41,15
2017-02-20,42,15
2017-02-21,43,16
2017-02-26,44,16
2017-02-28,46,16
2017-03-03,48,16
2017-03-05,49,16
2017-03-06,49,17
2017-03-08,50,17
2017-03-09,54,17
2017-03-11,55,17
2017-03-12,57,17
2017-03-14,57,19
2017-03-15,58,19
2017-03-16,58,20
2017-03-17,58,22
2017-03-21,62,22
2017-03-23,63,22
2017-03-24,64,22
2017-03-26,66,22
2017-03-27,67,22
2017-03-28,68,22
2017-04-01,69,22
2017-04-02,70,22
2017-04-03,71,22
2017-04-08,72,22
2017-04-10,73,22
2017-04-11,76,22
2017-04-14,76,23
2017-04-16,77,24
2017-04-20,79,25
2017-04-24,81,25
2017-04-25,83,25
2017-05-01,85,25
2017-05-02,87,25
2017-05-03,89,25
2017-05-04,89,26
2017-05-08,90,27
2017-05-12,91,27
2017-05-13,92,27
2017-05-14,98,27
2017-05-15,101,27
2017-05-16,102,29
2017-05-24,102,31
2017-05-26,104,31
2017-05-28,106,31
2017-05-30,107,31
2017-05-31,108,31
2017-06-01,112,31
2017-06-02,117,31
2017-06-03,121,33
2017-06-04,123,33
2017-06-05,124,33
2017-06-06,129,33
2017-06-07,134,33
2017-06-08,141,33
2017-06-09,143,33
2017-06-10,148,34
2017-06-11,150,34
2017-06-12,156,34
2017-06-13,161,35
2017-06-16,166,36
2017-06-17,167,40
2017-06-18,169,40
2017-06-21,169,41
2017-06-22,170,43
2017-06-23,170,44
2017-06-24,171,44
2017-06-25,171,45
2017-06-27,172,45
2017-06-30,172,46
2017-07-02,173,46
2017-07-05,173,47
2017-07-11,174,48
2017-07-13,174,49
2017-07-17,175,49
2017-07-19,176,49
2017-07-22,177,49
2017-07-23,178,49
2017-07-25,179,49
2017-07-27,181,49
2017-07-28,182,49
2017-07-31,183,49
2017-08-02,184,49
2017-08-03,185,49
2017-08-04,185,50
2017-08-05,186,50
2017-08-06,189,51
2017-08-07,193,51
2017-08-08,194,51
2017-08-09,195,51
2017-08-10,197,53
2017-08-11,199,54
2017-08-12,200,54
2017-08-13,201,54
2017-08-17,202,54
2017-08-18,203,54
2017-08-21,204,54
2017-08-23,205,54
2017-08-24,206,54
2017-08-25,207,54
2017-08-26,209,54
2017-08-27,209,55
2017-08-28,210,55
2017-08-29,212,55
2017-08-30,214,55
2017-08-31,215,56
2017-09-01,215,57
2017-09-04,216,57
2017-09-10,217,57
2017-09-14,218,57
2017-09-15,219,57
2017-09-19,219,58
2017-09-20,219,59
2017-09-21,220,60
2017-09-22,220,61
2017-09-23,221,61
2017-09-27,222,61
2017-09-28,223,61
2017-10-04,223,62
2017-10-05,224,62
2017-10-06,225,62
2017-10-09,225,63
2017-10-12,226,63
2017-10-17,226,64
2017-10-18,227,64
2017-10-21,230,64
2017-10-22,231,64
2017-10-24,232,64
2017-10-25,235,64
2017-10-27,236,64
2017-10-29,237,64
2017-11-01,238,64
2017-11-06,238,65
2017-11-09,241,65
2017-11-12,242,65
2017-11-15,243,65
2017-11-18,244,67
2017-11-21,245,67
2017-11-23,246,67
2017-11-24,246,68
2017-11-25,247,68
2017-11-27,248,68
2017-11-28,249,68
2017-11-30,250,68
2017-12-03,250,69
2017-12-11,252,69
2017-12-12,253,69
2017-12-16,254,69
2017-12-17,256,70
2017-12-20,256,71
2017-12-22,258,71
2017-12-24,259,71
2017-12-25,260,71
2017-12-28,261,71
2017-12-29,264,71
2018-01-01,268,71
2018-01-04,268,72
2018-01-05,269,73
2018-01-08,271,74
2018-01-09,272,74
2018-01-10,272,77
2018-01-11,272,78
2018-02-23,273,78
2018-05-04,274,78
2018-09-14,275,78
2018-09-15,276,78
2018-09-19,276,79
2018-09-25,277,79
2018-09-26,278,79
2018-09-27,279,80
2018-09-29,279,81
2018-09-30,280,81
2018-10-01,281,81
2018-10-08,283,81
2018-10-10,284,81
2018-10-20,285,81
2018-10-22,286,81
2018-10-26,288,81
2018-11-01,288,83
2018-11-02,289,83
2018-11-06,290,83
2018-11-07,292,83
2018-11-08,293,83
2018-11-12,294,83
2018-11-15,294,84
2018-12-01,295,84
2018-12-08,296,84
2018-12-09,297,84
2018-12-15,298,84
2018-12-20,299,84
2018-12-28,301,84
2018-12-29,301,85
2019-01-02,302,85
2019-01-05,303,85
2019-01-08,304,85
2019-01-12,305,85
2019-01-13,307,85
2019-01-14,307,86
2019-01-16,308,86
2019-01-17,309,86
2019-01-20,310,86
2019-01-22,311,86
2019-01-23,312,86
2019-01-24,314,86
2019-01-26,316,86
2019-01-27,319,86
2019-01-28,323,88
2019-01-29,325,88
2019-01-30,326,88
2019-01-31,327,88
2019-02-01,332,88
2019-02-03,338,89
2019-02-04,340,90
2019-02-05,347,90
2019-02-06,352,90
2019-02-07,353,90
2019-02-08,357,91
2019-02-09,366,91
2019-02-10,374,92
2019-02-11,377,93
2019-02-12,380,95
2019-02-14,381,97
2019-02-16,384,98
2019-02-17,387,98
2019-02-18,390,99
2019-02-19,390,100
2019-02-20,391,101
2019-02-21,392,101
2019-02-22,394,101
2019-02-23,395,101
2019-02-24,397,101
2019-02-25,398,101
2019-02-26,398,102
2019-02-28,400,102
2019-03-01,401,102
2019-03-02,407,102
2019-03-03,408,102
2019-03-04,410,102
2019-03-05,411,102
2019-03-06,412,102
2019-03-08,414,102
2019-03-09,415,102
2019-03-12,417,104
2019-03-15,419,104
2019-03-17,419,105
2019-03-19,421,106
2019-03-23,425,106
2019-03-26,426,106
2019-03-27,427,106
2019-03-28,428,106
2019-03-29,429,106
2019-04-01,431,106
2019-04-02,436,107
2019-04-04,436,108
2019-04-05,436,109
2019-04-06,438,109
2019-04-07,439,109
2019-04-08,440,110
2019-04-09,441,111
2019-04-10,442,111
2019-04-11,443,111
2019-04-12,443,112
2019-04-14,443,113
2019-04-15,445,113
2019-04-16,447,113
2019-04-17,448,114
2019-04-22,448,115
2019-04-23,448,116
2019-04-27,448,117
2019-05-12,448,118
2019-06-01,450,118
2019-06-07,451,118
2019-06-08,452,118
2019-06-10,453,118
2019-06-17,454,118
2019-06-18,455,118
2019-06-22,457,118
2019-06-26,457,119
2019-07-02,459,119
2019-07-04,459,120
2019-07-07,461,120
2019-07-09,462,120
2019-07-10,463,121
2019-07-13,464,121
2019-07-27,465,121
2019-07-28,465,122
2019-07-29,466,122
2019-08-02,467,122
2019-08-05,467,123
2019-08-13,467,124
2019-08-14,468,124
2019-08-15,469,124
2019-08-22,470,124
2019-09-11,471,124
2019-09-13,472,124
2019-09-19,473,124
2019-09-21,474,124
2019-09-24,475,124
2019-09-26,476,124
2019-09-28,476,125
2019-10-04,477,125
2019-10-07,477,126
2019-10-09,479,126
2019-10-12,481,126
2019-10-13,482,126
2019-10-15,482,127
2019-10-19,483,127
2019-10-20,484,127
2019-10-22,486,127
2019-10-24,487,128
2019-10-25,487,129
2019-10-27,488,129
2019-10-29,489,129
2019-10-30,490,129
2019-11-01,491,129
2019-11-02,492,129
2019-11-03,492,131
2019-11-05,493,131
2019-11-06,494,131
2019-11-08,495,131
2019-11-10,496,131
2019-11-11,497,132
2019-11-16,498,132
2019-11-22,499,132
