,Infected,Dead
2015-01-06,20,1
2015-02-06,32,1
2015-02-07,34,1
2015-03-06,46,2
2015-04-06,58,3
2015-04-25,59,3
2015-05-06,70,4
2015-05-19,71,4
2015-05-20,77,4
2015-05-21,81,4
2015-05-22,83,4
2015-05-23,87,4
2015-05-24,89,4
2015-05-25,94,4
2015-05-26,96,4
2015-05-27,99,4
2015-05-28,100,4
2015-05-29,103,4
2015-05-30,112,4
2015-05-31,121,4
2015-06-06,130,4
2015-06-13,134,5
2015-06-14,134,7
2015-06-15,138,8
2015-06-16,144,9
2015-06-17,144,13
2015-06-18,145,13
2015-06-19,145,14
2015-06-21,147,14
2015-06-22,148,14
2015-06-23,149,14
2015-06-24,149,15
2015-06-25,149,16
2015-06-26,150,18
2015-06-30,151,18
2015-07-06,157,18
2015-07-07,157,19
2015-08-06,165,21
2015-08-07,165,22
2015-09-06,169,22
2015-10-06,176,24
2015-10-07,176,25
2015-11-05,177,25
2015-11-06,182,26
2015-12-06,185,27
