,Infected,Dead
1/22/20,555,17
1/23/20,653,18
1/24/20,941,26
1/25/20,1434,42
1/26/20,2118,56
1/27/20,2927,82
1/28/20,5578,131
1/29/20,6166,133
1/30/20,8234,171
1/31/20,9927,213
2/1/20,12038,259
2/2/20,16787,362
2/3/20,19881,426
2/4/20,23892,492
2/5/20,27636,564
2/6/20,30818,634
2/7/20,34392,719
2/8/20,37121,806
2/9/20,40151,906
2/10/20,42763,1013
2/11/20,44803,1113
2/12/20,45222,1118
2/13/20,60370,1371
2/14/20,66887,1523
2/15/20,69032,1666
2/16/20,71226,1770
2/17/20,73260,1868
2/18/20,75138,2007
2/19/20,75641,2122
