,Infected,Dead
1/22/20,555,17
1/23/20,653,18
1/24/20,941,26
1/25/20,1434,42
1/26/20,2118,56
1/27/20,2927,82
1/28/20,5578,131
1/29/20,6166,133
1/30/20,8234,171
1/31/20,9927,213
2/1/20,12038,259
2/2/20,16787,362
2/3/20,19881,426
2/4/20,23892,492
2/5/20,27635,564
2/6/20,30817,634
2/7/20,34391,719
2/8/20,37120,806
2/9/20,40150,906
2/10/20,42762,1013
2/11/20,44802,1113
2/12/20,45221,1118
2/13/20,60368,1371
2/14/20,66885,1523
2/15/20,69030,1666
2/16/20,71224,1770
2/17/20,73258,1868
2/18/20,75136,2007
2/19/20,75639,2122
2/20/20,76197,2247
2/21/20,76823,2251
2/22/20,78579,2458
2/23/20,78965,2469
2/24/20,79568,2629
2/25/20,80413,2708
2/26/20,81395,2770
2/27/20,82754,2814
2/28/20,84120,2872
2/29/20,86011,2941
3/1/20,88369,2996
3/2/20,90306,3085
3/3/20,92840,3160
3/4/20,95120,3254
3/5/20,97882,3348
3/6/20,101784,3460
3/7/20,105821,3558
3/8/20,109795,3802
3/9/20,113561,3988
3/10/20,118592,4262
3/11/20,125865,4615
3/12/20,128343,4720
3/13/20,145193,5404
3/14/20,156094,5819
3/15/20,167446,6440
3/16/20,181527,7126
3/17/20,197142,7905
3/18/20,214910,8733
