,Infected,Dead
2016-12-18,0.0,0.0
2016-12-19,1.0,0.0
2016-12-20,2.0,0.0
2016-12-21,2.0,0.0
2016-12-22,2.0,0.0
2016-12-23,2.0,0.0
2016-12-24,3.0,0.0
2016-12-25,3.0,0.0
2016-12-26,4.0,0.0
2016-12-27,5.0,0.0
2016-12-28,5.0,0.0
2016-12-29,7.0,0.0
2016-12-30,8.0,1.0
2016-12-31,8.0,1.0
2017-01-01,8.0,1.0
2017-01-02,8.0,1.0
2017-01-03,11.0,2.0
2017-01-04,12.0,2.0
2017-01-05,14.0,2.0
2017-01-06,14.0,2.0
2017-01-07,14.0,2.0
2017-01-08,15.0,3.0
2017-01-09,15.0,4.0
2017-01-10,15.0,4.0
2017-01-11,16.0,5.0
2017-01-12,17.0,5.0
2017-01-13,18.0,5.0
2017-01-14,18.0,5.0
2017-01-15,18.0,5.0
2017-01-16,20.0,5.0
2017-01-17,20.0,5.0
2017-01-18,20.0,5.0
2017-01-19,21.0,5.0
2017-01-20,21.0,5.0
2017-01-21,22.0,5.0
2017-01-22,23.0,5.0
2017-01-23,23.0,5.0
2017-01-24,24.0,5.0
2017-01-25,25.0,5.0
2017-01-26,25.0,5.0
2017-01-27,25.0,5.0
2017-01-28,25.0,5.0
2017-01-29,25.0,6.0
2017-01-30,26.0,6.0
2017-01-31,26.0,7.0
2017-02-01,27.0,7.0
2017-02-02,30.0,8.0
2017-02-03,30.0,8.0
2017-02-04,31.0,8.0
2017-02-05,32.0,10.0
2017-02-06,32.0,10.0
2017-02-07,32.0,10.0
2017-02-08,32.0,10.0
2017-02-09,35.0,10.0
2017-02-10,35.0,11.0
2017-02-11,35.0,12.0
2017-02-12,37.0,12.0
2017-02-13,37.0,13.0
2017-02-14,39.0,13.0
2017-02-15,39.0,14.0
2017-02-16,40.0,14.0
2017-02-17,40.0,14.0
2017-02-18,40.0,14.0
2017-02-19,41.0,15.0
2017-02-20,42.0,15.0
2017-02-21,43.0,16.0
2017-02-22,44.0,16.0
2017-02-23,44.0,16.0
2017-02-24,44.0,16.0
2017-02-25,44.0,16.0
2017-02-26,44.0,16.0
2017-02-27,46.0,16.0
2017-02-28,46.0,16.0
2017-03-01,48.0,16.0
2017-03-02,48.0,16.0
2017-03-03,48.0,16.0
2017-03-04,49.0,16.0
2017-03-05,49.0,16.0
2017-03-06,49.0,17.0
2017-03-07,50.0,17.0
2017-03-08,50.0,17.0
2017-03-09,54.0,17.0
2017-03-10,55.0,17.0
2017-03-11,55.0,17.0
2017-03-12,57.0,17.0
2017-03-13,57.0,19.0
2017-03-14,57.0,19.0
2017-03-15,58.0,19.0
2017-03-16,58.0,20.0
2017-03-17,58.0,22.0
2017-03-18,62.0,22.0
2017-03-19,62.0,22.0
2017-03-20,62.0,22.0
2017-03-21,62.0,22.0
2017-03-22,63.0,22.0
2017-03-23,63.0,22.0
2017-03-24,64.0,22.0
2017-03-25,66.0,22.0
2017-03-26,66.0,22.0
2017-03-27,67.0,22.0
2017-03-28,68.0,22.0
2017-03-29,69.0,22.0
2017-03-30,69.0,22.0
2017-03-31,69.0,22.0
2017-04-01,69.0,22.0
2017-04-02,70.0,22.0
2017-04-03,71.0,22.0
2017-04-04,72.0,22.0
2017-04-05,72.0,22.0
2017-04-06,72.0,22.0
2017-04-07,72.0,22.0
2017-04-08,72.0,22.0
2017-04-09,73.0,22.0
2017-04-10,73.0,22.0
2017-04-11,76.0,22.0
2017-04-12,76.0,23.0
2017-04-13,76.0,23.0
2017-04-14,76.0,23.0
2017-04-15,77.0,24.0
2017-04-16,77.0,24.0
2017-04-17,79.0,25.0
2017-04-18,79.0,25.0
2017-04-19,79.0,25.0
2017-04-20,79.0,25.0
2017-04-21,81.0,25.0
2017-04-22,81.0,25.0
2017-04-23,81.0,25.0
2017-04-24,81.0,25.0
2017-04-25,83.0,25.0
2017-04-26,85.0,25.0
2017-04-27,85.0,25.0
2017-04-28,85.0,25.0
2017-04-29,85.0,25.0
2017-04-30,85.0,25.0
2017-05-01,85.0,25.0
2017-05-02,87.0,25.0
2017-05-03,89.0,25.0
2017-05-04,89.0,26.0
2017-05-05,90.0,27.0
2017-05-06,90.0,27.0
2017-05-07,90.0,27.0
2017-05-08,90.0,27.0
2017-05-09,91.0,27.0
2017-05-10,91.0,27.0
2017-05-11,91.0,27.0
2017-05-12,91.0,27.0
2017-05-13,92.0,27.0
2017-05-14,98.0,27.0
2017-05-15,101.0,27.0
2017-05-16,102.0,29.0
2017-05-17,102.0,31.0
2017-05-18,102.0,31.0
2017-05-19,102.0,31.0
2017-05-20,102.0,31.0
2017-05-21,102.0,31.0
2017-05-22,102.0,31.0
2017-05-23,102.0,31.0
2017-05-24,102.0,31.0
2017-05-25,104.0,31.0
2017-05-26,104.0,31.0
2017-05-27,106.0,31.0
2017-05-28,106.0,31.0
2017-05-29,107.0,31.0
2017-05-30,107.0,31.0
2017-05-31,108.0,31.0
2017-06-01,112.0,31.0
2017-06-02,117.0,31.0
2017-06-03,121.0,33.0
2017-06-04,123.0,33.0
2017-06-05,124.0,33.0
2017-06-06,129.0,33.0
2017-06-07,134.0,33.0
2017-06-08,141.0,33.0
2017-06-09,143.0,33.0
2017-06-10,148.0,34.0
2017-06-11,150.0,34.0
2017-06-12,156.0,34.0
2017-06-13,161.0,35.0
2017-06-14,166.0,36.0
2017-06-15,166.0,36.0
2017-06-16,166.0,36.0
2017-06-17,167.0,40.0
2017-06-18,169.0,40.0
2017-06-19,169.0,41.0
2017-06-20,169.0,41.0
2017-06-21,169.0,41.0
2017-06-22,170.0,43.0
2017-06-23,170.0,44.0
2017-06-24,171.0,44.0
2017-06-25,171.0,45.0
2017-06-26,172.0,45.0
2017-06-27,172.0,45.0
2017-06-28,172.0,46.0
2017-06-29,172.0,46.0
2017-06-30,172.0,46.0
2017-07-01,173.0,46.0
2017-07-02,173.0,46.0
2017-07-03,173.0,47.0
2017-07-04,173.0,47.0
2017-07-05,173.0,47.0
2017-07-06,174.0,48.0
2017-07-07,174.0,48.0
2017-07-08,174.0,48.0
2017-07-09,174.0,48.0
2017-07-10,174.0,48.0
2017-07-11,174.0,48.0
2017-07-12,174.0,49.0
2017-07-13,174.0,49.0
2017-07-14,175.0,49.0
2017-07-15,175.0,49.0
2017-07-16,175.0,49.0
2017-07-17,175.0,49.0
2017-07-18,176.0,49.0
2017-07-19,176.0,49.0
2017-07-20,177.0,49.0
2017-07-21,177.0,49.0
2017-07-22,177.0,49.0
2017-07-23,178.0,49.0
2017-07-24,179.0,49.0
2017-07-25,179.0,49.0
2017-07-26,181.0,49.0
2017-07-27,181.0,49.0
2017-07-28,182.0,49.0
2017-07-29,183.0,49.0
2017-07-30,183.0,49.0
2017-07-31,183.0,49.0
2017-08-01,184.0,49.0
