Dates,Infected,Dead
2018-09-13,0,0
2018-09-14,0,0
2018-09-15,1,0
2018-09-16,1,1
2018-09-17,1,1
2018-09-18,1,1
2018-09-19,1,1
2018-09-20,2,1
2018-09-21,2,1
2018-09-22,2,1
2018-09-23,2,1
2018-09-24,2,1
2018-09-25,2,1
2018-09-26,3,1
2018-09-27,4,2
2018-09-28,4,3
2018-09-29,4,3
2018-09-30,5,3
2018-10-01,6,3
2018-10-02,8,3
2018-10-03,8,3
2018-10-04,8,3
2018-10-05,8,3
2018-10-06,8,3
2018-10-07,8,3
2018-10-08,8,3
2018-10-09,9,3
2018-10-10,9,3
2018-10-11,10,3
2018-10-12,10,3
2018-10-13,10,3
2018-10-14,10,3
2018-10-15,10,3
2018-10-16,10,3
2018-10-17,10,3
2018-10-18,10,3
2018-10-19,10,3
2018-10-20,10,3
2018-10-21,11,3
2018-10-22,11,3
2018-10-23,13,3
2018-10-24,13,3
2018-10-25,13,3
2018-10-26,13,3
2018-10-27,13,5
2018-10-28,13,5
2018-10-29,13,5
2018-10-30,13,5
2018-10-31,13,5
2018-11-01,13,5
2018-11-02,14,5
2018-11-03,15,5
2018-11-04,15,5
2018-11-05,15,5
2018-11-06,15,5
2018-11-07,17,5
2018-11-08,18,5
2018-11-09,19,5
2018-11-10,19,5
2018-11-11,19,5
2018-11-12,19,5
2018-11-13,19,6
2018-11-14,19,6
2018-11-15,19,6
2018-11-16,20,6
2018-11-17,20,6
2018-11-18,20,6
2018-11-19,20,6
2018-11-20,20,6
2018-11-21,20,6
2018-11-22,20,6
2018-11-23,20,6
2018-11-24,20,6
2018-11-25,20,6
2018-11-26,20,6
2018-11-27,20,6
2018-11-28,20,6
2018-11-29,20,6
2018-11-30,20,6
2018-12-01,20,6
2018-12-02,21,6
2018-12-03,21,6
2018-12-04,21,6
2018-12-05,21,6
2018-12-06,21,6
2018-12-07,21,6
2018-12-08,21,6
2018-12-09,22,6
2018-12-10,23,6
2018-12-11,23,6
2018-12-12,23,6
2018-12-13,23,6
2018-12-14,23,6
2018-12-15,23,6
2018-12-16,24,6
2018-12-17,24,6
2018-12-18,24,6
2018-12-19,24,6
2018-12-20,24,6
2018-12-21,26,6
2018-12-22,26,6
2018-12-23,26,6
2018-12-24,26,6
2018-12-25,26,6
2018-12-26,26,6
2018-12-27,26,6
2018-12-28,26,6
2018-12-29,26,7
2018-12-30,27,7
2018-12-31,27,7
2019-01-01,27,7
2019-01-02,27,7
2019-01-03,28,7
2019-01-04,28,7
2019-01-05,28,7
2019-01-06,29,7
2019-01-07,29,7
2019-01-08,29,7
2019-01-09,30,7
2019-01-10,30,7
2019-01-11,30,7
2019-01-12,30,7
2019-01-13,32,7
2019-01-14,32,8
2019-01-15,33,8
2019-01-16,33,8
2019-01-17,34,8
2019-01-18,35,8
2019-01-19,35,8
2019-01-20,35,8
2019-01-21,36,8
2019-01-22,36,8
2019-01-23,37,8
2019-01-24,39,8
2019-01-25,41,8
2019-01-26,41,8
2019-01-27,44,8
2019-01-28,48,10
2019-01-29,50,10
2019-01-30,51,10
2019-01-31,52,10
2019-02-01,57,10
2019-02-02,63,11
2019-02-03,63,11
2019-02-04,65,12
2019-02-05,72,12
2019-02-06,77,12
2019-02-07,78,12
2019-02-08,82,13
2019-02-09,91,13
2019-02-10,99,14
2019-02-11,102,15
2019-02-12,105,17
2019-02-13,106,19
2019-02-14,106,19
2019-02-15,109,20
2019-02-16,109,20
2019-02-17,112,20
2019-02-18,115,21
2019-02-19,115,22
2019-02-20,116,23
2019-02-21,117,23
2019-02-22,119,23
2019-02-23,120,23
2019-02-24,122,23
2019-02-25,123,23
2019-02-26,123,24
2019-02-27,125,24
2019-02-28,125,24
2019-03-01,126,24
2019-03-02,132,24
2019-03-03,133,24
2019-03-04,135,24
2019-03-05,136,24
2019-03-06,137,24
2019-03-07,139,24
2019-03-08,139,24
2019-03-09,140,24
2019-03-10,142,26
2019-03-11,142,26
2019-03-12,142,26
2019-03-13,144,26
2019-03-14,144,26
2019-03-15,144,26
2019-03-16,144,27
2019-03-17,144,27
2019-03-18,146,28
2019-03-19,146,28
2019-03-20,150,28
2019-03-21,150,28
2019-03-22,150,28
2019-03-23,150,28
2019-03-24,151,28
2019-03-25,151,28
2019-03-26,151,28
2019-03-27,152,28
2019-03-28,153,28
2019-03-29,154,28
2019-03-30,156,28
2019-03-31,156,28
2019-04-01,156,28
2019-04-02,161,29
2019-04-03,161,30
2019-04-04,161,30
2019-04-05,161,31
2019-04-06,163,31
2019-04-07,164,31
2019-04-08,165,32
2019-04-09,166,33
2019-04-10,167,33
2019-04-11,168,33
2019-04-12,168,34
2019-04-13,168,35
2019-04-14,168,35
2019-04-15,170,35
2019-04-16,172,35
2019-04-17,173,36
2019-04-18,173,37
2019-04-19,173,37
2019-04-20,173,37
2019-04-21,173,37
2019-04-22,173,37
2019-04-23,173,38
2019-04-24,173,39
2019-04-25,173,39
2019-04-26,173,39
2019-04-27,173,39
2019-04-28,173,40
2019-04-29,173,40
2019-04-30,173,40
2019-05-01,173,40
2019-05-02,173,40
2019-05-03,173,40
2019-05-04,173,40
2019-05-05,173,40
2019-05-06,173,40
2019-05-07,173,40
2019-05-08,173,40
2019-05-09,173,40
2019-05-10,173,40
2019-05-11,173,40
2019-05-12,173,40
2019-05-13,175,40
2019-05-14,175,40
2019-05-15,175,40
2019-05-16,175,40
2019-05-17,175,40
2019-05-18,175,40
2019-05-19,175,40
2019-05-20,175,40
2019-05-21,175,40
2019-05-22,175,40
2019-05-23,175,40
2019-05-24,175,40
2019-05-25,175,40
2019-05-26,175,40
2019-05-27,175,40
2019-05-28,175,40
2019-05-29,175,40
2019-05-30,175,40
2019-05-31,175,40
2019-06-01,175,40
2019-06-02,176,40
2019-06-03,176,40
2019-06-04,176,40
2019-06-05,176,40
2019-06-06,176,40
2019-06-07,176,40
2019-06-08,177,40
2019-06-09,178,40
2019-06-10,178,40
2019-06-11,179,40
2019-06-12,179,40
2019-06-13,179,40
2019-06-14,179,40
2019-06-15,179,40
2019-06-16,179,40
2019-06-17,179,40
2019-06-18,180,40
2019-06-19,182,40
2019-06-20,182,40
2019-06-21,182,40
2019-06-22,182,40
2019-06-23,182,41
2019-06-24,182,41
2019-06-25,182,41
2019-06-26,182,41
2019-06-27,184,41
2019-06-28,184,41
2019-06-29,184,41
2019-06-30,184,41
2019-07-01,184,41
2019-07-02,184,41
2019-07-03,184,42
2019-07-04,184,42
2019-07-05,186,42
2019-07-06,186,42
2019-07-07,186,42
2019-07-08,187,42
2019-07-09,187,42
2019-07-10,188,43
2019-07-11,189,43
2019-07-12,189,43
2019-07-13,189,43
2019-07-14,190,43
2019-07-15,190,43
2019-07-16,190,43
2019-07-17,190,43
2019-07-18,190,43
2019-07-19,190,43
2019-07-20,190,43
2019-07-21,190,43
2019-07-22,190,43
2019-07-23,190,43
2019-07-24,190,43
2019-07-25,190,43
2019-07-26,190,43
2019-07-27,190,43
2019-07-28,190,44
2019-07-29,191,44
2019-07-30,192,44
2019-07-31,192,44
2019-08-01,192,44
2019-08-02,192,44
2019-08-03,192,45
2019-08-04,192,45
2019-08-05,192,45
2019-08-06,192,46
2019-08-07,192,46
2019-08-08,192,46
2019-08-09,192,46
2019-08-10,192,46
2019-08-11,192,46
2019-08-12,192,46
2019-08-13,192,46
2019-08-14,193,46
2019-08-15,194,46
2019-08-16,195,46
2019-08-17,195,46
2019-08-18,195,46
2019-08-19,195,46
2019-08-20,195,46
2019-08-21,195,46
2019-08-22,195,46
2019-08-23,196,46
2019-08-24,196,46
2019-08-25,196,46
2019-08-26,196,46
2019-08-27,196,46
2019-08-28,196,46
2019-08-29,196,46
2019-08-30,196,46
2019-08-31,196,46
2019-09-01,196,46
2019-09-02,196,46
2019-09-03,196,46
2019-09-04,196,46
2019-09-05,196,46
2019-09-06,196,46
2019-09-07,196,46
2019-09-08,196,46
2019-09-09,196,46
2019-09-10,196,46
2019-09-11,196,46
2019-09-12,197,46
2019-09-13,197,46
2019-09-14,198,46
2019-09-15,198,46
2019-09-16,198,46
2019-09-17,198,46
2019-09-18,198,46
2019-09-19,198,46
2019-09-20,199,46
2019-09-21,199,46
2019-09-22,200,46
2019-09-23,200,46
2019-09-24,200,46
2019-09-25,201,46
2019-09-26,201,46
2019-09-27,201,47
2019-09-28,201,47
2019-09-29,202,47
2019-09-30,202,47
2019-10-01,202,47
2019-10-02,202,47
2019-10-03,202,47
2019-10-04,202,47
2019-10-05,202,48
2019-10-06,202,48
2019-10-07,202,48
2019-10-08,204,48
2019-10-09,204,48
2019-10-10,206,48
2019-10-11,206,48
2019-10-12,206,48
2019-10-13,207,48
2019-10-14,207,49
2019-10-15,207,49
2019-10-16,208,49
2019-10-17,208,49
2019-10-18,208,49
2019-10-19,208,49
2019-10-20,209,49
2019-10-21,211,49
2019-10-22,211,49
2019-10-23,212,50
2019-10-24,212,50
2019-10-25,212,51
2019-10-26,213,51
2019-10-27,213,51
2019-10-28,214,51
2019-10-29,214,51
2019-10-30,215,51
2019-10-31,216,51
2019-11-01,216,51
2019-11-02,217,51
2019-11-03,217,53
2019-11-04,218,53
2019-11-05,218,53
2019-11-06,219,53
2019-11-07,220,53
2019-11-08,220,53
2019-11-09,221,53
2019-11-10,221,53
2019-11-11,222,54
2019-11-12,223,54
2019-11-13,223,54
2019-11-14,223,54
2019-11-15,223,54
2019-11-16,223,54
2019-11-17,224,54
2019-11-18,224,54
2019-11-19,224,54
2019-11-20,224,54
2019-11-21,224,54
2019-11-22,224,54
