Date,Infected,Dead
2014-08-29,482,287
2014-09-05,604,362
2014-09-08,664,400
2014-09-12,678,403
2014-09-16,743,429
2014-09-18,750,435
2014-09-22,818,465
2014-09-24,832,468
2014-09-26,876,481
2014-10-01,950,535
2014-10-03,977,562
2014-10-08,1044,587
2014-10-10,1097,598
2014-10-15,1184,653
2014-10-17,1217,671
2014-10-22,1289,710
2014-10-25,1312,732
2014-10-29,1391,732
2014-10-31,1409,732
2014-11-05,1457,837
2014-11-07,1479,850
2014-11-12,1612,934
2014-11-14,1647,958
2014-11-19,1698,982
2014-11-21,1745,998
2014-11-26,1850,1050
2014-12-01,1921,1102
2014-12-03,1929,1117
2014-12-10,2051,1207
2014-12-15,2115,1255
2014-12-17,2127,1262
2014-12-22,2259,1323
2014-12-23,2284,1344
2014-12-24,2284,1344
2014-12-26,2342,1385
2014-12-29,2384,1422
2014-12-30,2397,1433
2014-12-31,2397,1433
2015-01-02,2435,1463
2015-01-05,2465,1488
2015-01-06,2471,1499
2015-01-07,2471,1499
2015-01-08,2477,1504
2015-01-09,2493,1515
2015-01-12,2508,1523
2015-01-13,2508,1523
2015-01-14,2514,1530
2015-01-15,2522,1537
2015-01-16,2525,1541
2015-01-19,2539,1556
2015-01-20,2539,1557
2015-01-21,2539,1557
2015-01-22,2542,1560
2015-01-23,2545,1561
2015-01-26,2559,1574
2015-01-27,2569,1578
2015-01-28,2569,1578
2015-01-29,2571,1579
2015-01-30,2575,1581
2015-02-02,2593,1595
2015-02-03,2608,1597
2015-02-04,2608,1597
2015-02-05,2621,1600
2015-02-06,2628,1608
2015-02-10,2674,1643
2015-02-11,2674,1643
2015-02-12,2685,1651
2015-02-13,2693,1659
2015-02-16,2720,1678
2015-02-17,2727,1683
2015-02-18,2727,1683
2015-02-19,2732,1686
2015-02-20,2734,1688
2015-02-23,2758,1699
2015-02-25,2762,1704
2015-02-26,2781,1714
2015-02-27,2790,1721
2015-03-02,2808,1735
2015-03-04,2808,1735
2015-03-05,2833,1749
2015-03-06,2840,1755
2015-03-10,2871,1778
2015-03-11,2871,1778
2015-03-12,2901,1792
2015-03-13,2911,1797
2015-03-16,2957,1821
2015-03-17,2966,1829
2015-03-18,2966,1829
2015-03-20,2988,1846
2015-03-23,3007,1863
2015-03-24,3011,1865
2015-03-25,3011,1865
2015-03-26,3032,1875
2015-03-27,3042,1878
2015-04-07,3089,1919
2015-04-09,3093,1921
2015-04-13,3112,1928
2015-04-14,3117,1932
2015-04-15,3117,1932
2015-04-16,3124,1934
2015-04-17,3126,1937
2015-04-20,3133,1942
2015-04-21,3136,1943
2015-04-22,3136,1943
2015-04-23,3144,1947
2015-04-24,3145,1950
2015-04-27,3154,1959
2015-04-28,3158,1962
2015-04-30,3159,1966
2015-05-01,3161,1968
2015-05-04,3163,1970
2015-05-05,3167,1971
2015-05-06,3167,1971
2015-05-07,3170,1972
2015-05-08,3170,1972
2015-05-11,3173,1976
2015-05-12,3173,1976
2015-05-13,3173,1976
2015-05-14,3187,1980
2015-05-15,3189,1982
2015-05-18,3195,1986
2015-05-19,3201,1988
2015-05-20,3201,1988
2015-05-21,3204,1990
2015-05-22,3205,1993
2015-05-25,3208,1999
2015-05-26,3210,2001
2015-05-27,3210,2001
2015-05-28,3214,2004
2015-05-29,3216,2006
2015-06-01,3220,2009
2015-06-02,3223,2010
2015-06-03,3223,2010
2015-06-04,3227,2012
2015-06-05,3228,2012
2015-06-08,3237,2016
2015-06-09,3239,2018
2015-06-10,3239,2018
2015-06-11,3243,2021
2015-06-12,3243,2021
2015-06-15,3245,2024
2015-06-16,3245,2025
2015-06-17,3245,2025
2015-06-18,3246,2026
2015-06-19,3247,2027
2015-06-22,3254,2028
2015-06-23,3257,2030
2015-06-24,3257,2030
2015-06-25,3264,2037
2015-06-26,3266,2037
2015-06-29,3268,2039
2015-06-30,3269,2039
2015-07-01,3269,2039
2015-07-02,3277,2040
2015-07-03,3279,2042
2015-07-06,3287,2048
2015-07-07,3287,2049
2015-07-08,3287,2049
2015-07-09,3290,2055
2015-07-10,3293,2055
2015-07-13,3299,2056
2015-07-14,3300,2056
2015-07-15,3300,2056
2015-07-16,3304,2056
2015-07-17,3310,2059
2015-07-20,3322,2061
2015-07-21,3322,2062
2015-07-22,3322,2062
2015-07-23,3325,2066
2015-07-24,3325,2066
2015-07-27,3325,2068
2015-07-28,3326,2069
2015-07-29,3326,2069
2015-07-30,3326,2069
2015-07-31,3326,2069
2015-08-03,3327,2070
2015-08-04,3327,2070
2015-08-05,3327,2070
2015-08-06,3329,2072
2015-08-07,3329,2072
2015-08-10,3329,2072
2015-08-11,3329,2072
2015-08-12,3329,2072
2015-08-13,3330,2072
2015-08-14,3330,2072
2015-08-17,3332,2072
2015-08-18,3332,2072
2015-08-19,3332,2072
2015-08-20,3334,2074
2015-08-21,3334,2074
2015-08-24,3334,2075
2015-08-25,3335,2075
