,Infected,Dead
2020-01-22,0.0,0.0
2020-01-23,98.0,1.0
2020-01-24,190.0,7.0
2020-01-25,205.0,8.0
2020-01-26,191.0,-2.0
2020-01-27,125.0,12.0
2020-01-28,1842.0,23.0
2020-01-29,-2063.0,-47.0
2020-01-30,1480.0,36.0
2020-01-31,-375.0,4.0
2020-02-01,418.0,4.0
2020-02-02,2638.0,57.0
2020-02-03,-1655.0,-39.0
2020-02-04,917.0,2.0
2020-02-05,-267.0,6.0
2020-02-06,-562.0,-2.0
2020-02-07,392.0,15.0
2020-02-08,-845.0,2.0
2020-02-09,301.0,13.0
2020-02-10,-418.0,7.0
2020-02-11,-572.0,-7.0
2020-02-12,-1621.0,-95.0
2020-02-13,14729.0,248.0
2020-02-14,-8631.0,-101.0
2020-02-15,-4372.0,-9.0
2020-02-16,49.0,-39.0
2020-02-17,-160.0,-6.0
2020-02-18,-156.0,41.0
2020-02-19,-1375.0,-24.0
