Dates,Infected,Dead
2003-03-17,0.0,0.0
2003-03-18,52.0,0.0
2003-03-19,45.0,5.0
2003-03-20,42.0,1.0
2003-03-21,44.0,0.0
2003-03-22,36.0,1.0
2003-03-23,70.0,6.0
2003-03-24,0.0,0.0
2003-03-25,31.0,0.0
2003-03-26,836.0,32.0
2003-03-27,85.0,4.0
2003-03-28,77.0,0.0
2003-03-29,65.0,1.0
2003-03-30,72.0,4.0
2003-03-31,0.0,0.0
2003-04-01,182.0,4.0
2003-04-02,419.0,16.0
2003-04-03,47.0,1.0
2003-04-04,83.0,5.0
2003-04-05,63.0,0.0
2003-04-06,185.0,14.0
2003-04-07,0.0,0.0
2003-04-08,70.0,5.0
2003-04-09,51.0,3.0
2003-04-10,59.0,5.0
2003-04-11,109.0,5.0
2003-04-12,70.0,3.0
2003-04-13,209.0,25.0
2003-04-14,0.0,0.0
2003-04-15,66.0,10.0
2003-04-16,58.0,5.0
2003-04-17,96.0,6.0
2003-04-18,158.0,17.0
2003-04-19,0.0,0.0
2003-04-20,314.0,35.0
2003-04-21,0.0,0.0
2003-04-22,86.0,12.0
2003-04-23,341.0,22.0
2003-04-24,151.0,12.0
2003-04-25,210.0,11.0
2003-04-26,187.0,19.0
2003-04-27,214.0,28.0
2003-04-28,0.0,0.0
2003-04-29,412.0,32.0
2003-04-30,201.0,19.0
2003-05-01,202.0,19.0
2003-05-02,189.0,26.0
2003-05-03,180.0,18.0
2003-05-04,349.0,26.0
2003-05-05,0.0,0.0
2003-05-06,144.0,17.0
2003-05-07,176.0,17.0
2003-05-08,150.0,11.0
2003-05-09,130.0,8.0
2003-05-10,113.0,12.0
2003-05-11,151.0,26.0
2003-05-12,0.0,0.0
2003-05-13,101.0,21.0
2003-05-14,80.0,14.0
2003-05-15,71.0,11.0
2003-05-16,40.0,13.0
2003-05-17,22.0,12.0
2003-05-18,103.0,20.0
2003-05-19,0.0,0.0
2003-05-20,55.0,19.0
2003-05-21,37.0,4.0
2003-05-22,90.0,16.0
2003-05-23,71.0,7.0
2003-05-24,24.0,7.0
2003-05-25,61.0,29.0
2003-05-26,0.0,0.0
2003-05-27,19.0,10.0
2003-05-28,19.0,10.0
2003-05-29,55.0,5.0
2003-05-30,22.0,4.0
2003-05-31,43.0,10.0
2003-06-01,24.0,6.0
2003-06-02,0.0,0.0
2003-06-03,14.0,2.0
2003-06-04,4.0,0.0
2003-06-05,1.0,3.0
2003-06-06,1.0,4.0
2003-06-07,17.0,5.0
2003-06-08,0.0,0.0
2003-06-09,0.0,0.0
2003-06-10,9.0,5.0
2003-06-11,5.0,0.0
2003-06-12,1.0,1.0
2003-06-13,0.0,2.0
2003-06-14,0.0,7.0
2003-06-15,0.0,0.0
2003-06-16,0.0,0.0
2003-06-17,0.0,0.0
2003-06-18,0.0,2.0
2003-06-19,0.0,3.0
2003-06-20,0.0,0.0
2003-06-21,0.0,1.0
2003-06-22,0.0,0.0
2003-06-23,0.0,0.0
2003-06-24,0.0,2.0
2003-06-25,0.0,1.0
2003-06-26,0.0,1.0
2003-06-27,0.0,1.0
2003-06-28,0.0,1.0
2003-06-29,0.0,0.0
2003-06-30,0.0,0.0
2003-07-01,0.0,1.0
2003-07-02,0.0,0.0
2003-07-03,0.0,0.0
2003-07-04,0.0,0.0
2003-07-05,0.0,0.0
2003-07-06,0.0,0.0
2003-07-07,0.0,0.0
2003-07-08,0.0,0.0
2003-07-09,0.0,0.0
2003-07-10,1.0,0.0
2003-07-11,0.0,1.0
