Dates,Infected,Dead
2014-08-29,0.0,0.0
2014-08-30,122.0,75.0
2014-08-31,0.0,0.0
2014-09-01,0.0,0.0
2014-09-02,0.0,0.0
2014-09-03,0.0,0.0
2014-09-04,0.0,0.0
2014-09-05,0.0,0.0
2014-09-06,60.0,38.0
2014-09-07,0.0,0.0
2014-09-08,0.0,0.0
2014-09-09,14.0,3.0
2014-09-10,0.0,0.0
2014-09-11,0.0,0.0
2014-09-12,0.0,0.0
2014-09-13,65.0,26.0
2014-09-14,0.0,0.0
2014-09-15,0.0,0.0
2014-09-16,0.0,0.0
2014-09-17,7.0,6.0
2014-09-18,0.0,0.0
2014-09-19,68.0,30.0
2014-09-20,0.0,0.0
2014-09-21,0.0,0.0
2014-09-22,0.0,0.0
2014-09-23,14.0,3.0
2014-09-24,0.0,0.0
2014-09-25,44.0,13.0
2014-09-26,0.0,0.0
2014-09-27,74.0,54.0
2014-09-28,0.0,0.0
2014-09-29,0.0,0.0
2014-09-30,0.0,0.0
2014-10-01,0.0,0.0
2014-10-02,27.0,27.0
2014-10-03,0.0,0.0
2014-10-04,67.0,25.0
2014-10-05,0.0,0.0
2014-10-06,0.0,0.0
2014-10-07,0.0,0.0
2014-10-08,0.0,0.0
2014-10-09,53.0,11.0
2014-10-10,0.0,0.0
2014-10-11,87.0,55.0
2014-10-12,0.0,0.0
2014-10-13,0.0,0.0
2014-10-14,0.0,0.0
2014-10-15,0.0,0.0
2014-10-16,33.0,18.0
2014-10-17,0.0,0.0
2014-10-18,72.0,39.0
2014-10-19,0.0,0.0
2014-10-20,0.0,0.0
2014-10-21,0.0,0.0
2014-10-22,0.0,0.0
2014-10-23,23.0,22.0
2014-10-24,0.0,0.0
2014-10-25,0.0,0.0
2014-10-26,79.0,0.0
2014-10-27,0.0,0.0
2014-10-28,0.0,0.0
2014-10-29,0.0,0.0
2014-10-30,18.0,0.0
2014-10-31,0.0,0.0
2014-11-01,48.0,105.0
2014-11-02,0.0,0.0
2014-11-03,0.0,0.0
2014-11-04,0.0,0.0
2014-11-05,0.0,0.0
2014-11-06,22.0,13.0
2014-11-07,0.0,0.0
2014-11-08,133.0,84.0
2014-11-09,0.0,0.0
2014-11-10,0.0,0.0
2014-11-11,0.0,0.0
2014-11-12,0.0,0.0
2014-11-13,35.0,24.0
2014-11-14,0.0,0.0
2014-11-15,51.0,24.0
2014-11-16,0.0,0.0
2014-11-17,0.0,0.0
2014-11-18,0.0,0.0
2014-11-19,0.0,0.0
2014-11-20,47.0,16.0
2014-11-21,0.0,0.0
2014-11-22,105.0,52.0
2014-11-23,0.0,0.0
2014-11-24,0.0,0.0
2014-11-25,0.0,0.0
2014-11-26,0.0,0.0
2014-11-27,71.0,52.0
2014-11-28,0.0,0.0
2014-11-29,0.0,0.0
2014-11-30,0.0,0.0
2014-12-01,0.0,0.0
2014-12-02,8.0,15.0
2014-12-03,0.0,0.0
2014-12-04,122.0,90.0
2014-12-05,0.0,0.0
2014-12-06,0.0,0.0
2014-12-07,0.0,0.0
2014-12-08,0.0,0.0
2014-12-09,0.0,0.0
2014-12-10,0.0,0.0
2014-12-11,64.0,48.0
2014-12-12,0.0,0.0
2014-12-13,0.0,0.0
2014-12-14,0.0,0.0
2014-12-15,0.0,0.0
2014-12-16,12.0,7.0
2014-12-17,0.0,0.0
