Date,Infected,Dead
2014-08-29,322,225
2014-09-05,614,431
2014-09-08,634,508
2014-09-12,654,498
2014-09-16,790,563
2014-09-18,812,631
2014-09-22,863,670
2014-09-24,890,671
2014-09-26,914,792
2014-10-01,927,890
2014-10-03,931,934
2014-10-08,941,1018
2014-10-10,943,1072
2014-10-15,950,1072
2014-10-22,965,1241
2014-10-25,965,1241
2014-10-29,2515,1241
2014-10-31,2515,1241
2014-11-05,2451,1241
2014-11-07,2514,1241
2014-11-12,2553,1241
2014-11-14,2562,1241
2014-11-19,2643,1241
2014-11-21,2669,1241
2014-11-26,2727,1241
2014-12-01,2801,1241
2014-12-03,2801,1241
2014-12-10,2830,1241
2014-12-15,2946,1241
2014-12-17,2946,1241
2014-12-22,3085,1241
2014-12-23,3085,1241
2014-12-24,3085,1241
2014-12-26,3085,1241
2014-12-29,3108,1241
2014-12-30,3108,1241
2014-12-31,3110,1241
2015-01-02,3110,1241
2015-01-05,3116,1241
2015-01-06,3118,1241
2015-01-07,3118,1241
2015-01-08,3118,1241
2015-01-09,3123,1241
2015-01-12,3123,1241
2015-01-13,3123,1241
2015-01-14,3127,1241
2015-01-15,3127,1241
2015-01-16,3127,1241
2015-01-19,3131,1241
2015-01-20,3135,1241
2015-01-21,3135,1241
2015-01-22,3136,1241
2015-01-23,3136,1241
2015-01-26,3136,1241
2015-01-27,3138,1241
2015-01-28,3138,1241
2015-01-29,3138,1241
2015-01-30,3138,1241
2015-02-02,3138,1241
2015-02-03,3143,1241
2015-02-04,3143,1241
2015-02-05,3143,1241
2015-02-06,3143,1241
2015-02-10,3146,3826
2015-02-11,3146,3826
2015-02-12,3146,3826
2015-02-13,3147,3858
2015-02-16,3149,3858
2015-02-17,3149,3858
2015-02-18,3149,3858
2015-02-19,3152,3858
2015-02-20,3152,3858
2015-02-23,3153,3858
2015-02-25,3153,3858
2015-02-26,3153,3858
2015-02-27,3153,3858
2015-03-02,3153,3858
2015-03-04,3153,3858
2015-03-05,3150,3858
2015-03-06,3150,3858
2015-03-10,3150,3858
2015-03-11,3150,3858
2015-03-12,3150,3858
2015-03-13,3150,3858
2015-03-16,3150,3858
2015-03-17,3150,3858
2015-03-18,3150,3858
2015-03-20,3150,3858
2015-03-23,3151,3858
2015-03-24,3151,3858
2015-03-25,3151,3858
2015-03-26,3151,3858
2015-03-27,3151,3858
2015-04-07,3151,3858
2015-04-09,3151,3858
2015-04-13,3151,3858
2015-04-14,3151,3858
2015-04-15,3151,3858
2015-04-16,3151,3858
2015-04-17,3151,3858
2015-04-20,3151,3858
2015-04-21,3151,3858
2015-04-22,3151,3858
2015-04-23,3151,3858
2015-04-24,3151,3858
2015-04-27,3151,3858
2015-04-28,3151,3858
2015-04-30,3151,3858
2015-05-01,3151,3858
2015-05-04,3151,3858
2015-05-05,3151,3858
2015-05-06,3151,3858
2015-05-07,3151,3858
2015-05-08,3151,3858
