|   iter    |  target   |   alpha   |     k     |     l     |
-------------------------------------------------------------
|  1        | -342.3    |  0.0834   |  3.161    |  1.001    |
|  2        | -477.3    |  0.06047  |  1.44     |  2.2      |
|  3        | -695.4    |  0.03725  |  2.037    |  6.158    |
|  4        | -390.3    |  0.1078   |  2.258    |  9.908    |
|  5        | -590.1    |  0.04089  |  3.634    |  1.356    |
|  6        | -583.2    |  0.07517  |  3.37     |  11.07    |
|  7        | -263.1    |  0.1065   |  3.362    |  3.274    |
|  8        | -365.6    |  0.1192   |  1.783    |  10.71    |
|  9        | -737.9    |  0.0455   |  1.467    |  13.31    |
|  10       | -199.0    |  0.1453   |  3.186    |  3.531    |
|  11       | -199.8    |  0.1393   |  3.213    |  3.492    |
|  12       | -156.1    |  0.1911   |  2.992    |  7.119    |
|  13       | -556.0    |  0.09775  |  3.524    |  13.73    |
|  14       | -148.4    |  0.1914   |  2.994    |  7.121    |
|  15       | -224.0    |  0.171    |  3.158    |  12.86    |
|  16       | -113.1    |  0.1807   |  3.029    |  7.129    |
|  17       | -198.9    |  0.1384   |  3.213    |  3.521    |
|  18       | -485.6    |  0.0548   |  3.293    |  1.869    |
|  19       | -114.5    |  0.1766   |  2.999    |  7.162    |
|  20       | -117.4    |  0.1812   |  3.026    |  7.109    |
|  21       | -103.7    |  0.1832   |  2.976    |  7.215    |
|  22       | -128.6    |  0.1592   |  3.052    |  7.133    |
|  23       | -105.7    |  0.1845   |  2.984    |  7.202    |
|  24       | -144.9    |  0.1502   |  3.051    |  7.111    |
|  25       | -150.9    |  0.1966   |  2.94     |  7.222    |
|  26       | -129.7    |  0.1565   |  2.968    |  7.249    |
|  27       | -706.7    |  0.04601  |  1.194    |  10.15    |
|  28       | -102.6    |  0.1756   |  2.978    |  7.215    |
|  29       | -154.8    |  0.1455   |  3.005    |  7.138    |
|  30       | -161.5    |  0.1678   |  2.256    |  4.849    |
|  31       | -103.5    |  0.1691   |  2.962    |  7.196    |
|  32       | -132.8    |  0.1867   |  3.014    |  7.137    |
|  33       | -183.9    |  0.1377   |  2.983    |  7.257    |
|  34       | -138.1    |  0.1532   |  2.98     |  7.193    |
|  35       | -184.4    |  0.1365   |  2.97     |  7.261    |
|  36       | -165.0    |  0.1921   |  2.994    |  7.103    |
|  37       | -802.4    |  0.02064  |  1.171    |  5.805    |
|  38       | -328.7    |  0.08738  |  1.58     |  1.985    |
|  39       | -126.9    |  0.1916   |  2.938    |  7.205    |
|  40       | -142.7    |  0.1502   |  3.049    |  7.115    |
|  41       | -102.1    |  0.1795   |  2.966    |  7.203    |
|  42       | -101.0    |  0.1806   |  2.941    |  7.172    |
|  43       | -139.3    |  0.1534   |  3.026    |  7.11     |
|  44       | -213.1    |  0.1788   |  2.295    |  4.844    |
|  45       | -537.2    |  0.05095  |  3.536    |  2.699    |
|  46       | -169.0    |  0.1675   |  2.256    |  4.85     |
|  47       | -148.7    |  0.1497   |  3.028    |  7.156    |
|  48       | -263.0    |  0.1622   |  3.242    |  12.56    |
|  49       | -189.7    |  0.1739   |  2.244    |  4.841    |
|  50       | -586.0    |  0.05374  |  2.989    |  6.327    |
|  51       | -118.2    |  0.1648   |  3.005    |  7.193    |
|  52       | -169.6    |  0.1942   |  3.028    |  7.125    |
|  53       | -137.6    |  0.1539   |  3.012    |  7.168    |
|  54       | -122.2    |  0.1635   |  3.009    |  7.139    |
|  55       | -132.8    |  0.1554   |  3.012    |  7.224    |
=============================================================
|   iter    |  target   |   alpha   |     k     |     l     |
-------------------------------------------------------------
|  1        | -215.2    |  0.0834   |  3.161    |  1.001    |
|  2        | -57.2     |  0.06047  |  1.44     |  2.2      |
|  3        | -274.7    |  0.03725  |  2.037    |  6.158    |
|  4        | -22.55    |  0.1078   |  2.258    |  9.908    |
|  5        | -149.6    |  0.04089  |  3.634    |  1.356    |
|  6        | -24.52    |  0.1077   |  2.26     |  9.911    |
|  7        | -223.7    |  0.06068  |  2.244    |  9.891    |
