α,p,d
0.025,0.92,14.981909090909092
0.025,0.94,14.724727272727272
0.025,0.96,14.544318181818182
0.025,0.98,14.334981818181818
0.025,1.0,14.129245454545453
0.026,0.8,14.659854545454545
0.026,0.82,14.311981818181819
0.026,0.84,13.976754545454547
0.026,0.86,13.707936363636366
0.026,0.88,13.471681818181816
0.026,0.9,13.183572727272729
0.026,0.92,12.924881818181818
0.026,0.94,12.767063636363638
0.026,0.96,12.676581818181818
0.026,0.98,12.840345454545455
0.026,1.0,13.026245454545453
0.027,0.72,14.707018181818182
0.027,0.74,13.935763636363635
0.027,0.76,13.398936363636363
0.027,0.78,13.033709090909092
0.027,0.8,12.6489
0.027,0.82,12.524072727272726
0.027,0.84,12.678254545454546
0.027,0.86,12.843354545454547
0.027,0.88,13.010818181818182
0.027,0.9,13.250018181818183
0.027,0.92,13.400490909090905
0.027,0.94,13.523427272727274
0.027,0.96,13.697481818181815
0.027,0.98,13.892945454545453
0.027,1.0,14.060336363636365
0.028,0.66,14.546072727272728
0.028,0.68,13.652454545454548
0.028,0.7,12.834263636363636
0.028,0.72,12.618418181818184
0.028,0.74,12.731009090909088
0.028,0.76,12.951336363636369
0.028,0.78,13.142554545454544
0.028,0.8,13.324263636363634
0.028,0.82,13.516136363636365
0.028,0.84,13.653745454545453
0.028,0.86,13.845699999999995
0.028,0.88,13.974063636363638
0.028,0.9,14.327218181818182
0.028,0.92,14.603845454545452
0.028,0.94,14.841327272727273
0.029,0.6,14.88330909090909
0.029,0.62,13.876881818181817
0.029,0.64,13.261509090909094
0.029,0.66,12.893481818181817
0.029,0.68,13.095090909090908
0.029,0.7,13.320336363636365
0.029,0.72,13.47678181818182
0.029,0.74,13.686445454545453
0.029,0.76,13.878090909090911
0.029,0.78,14.205218181818186
0.029,0.8,14.588845454545453
0.029,0.82,15.000945454545455
0.03,0.56,14.6626
0.03,0.58,14.013872727272725
0.03,0.6,13.500518181818183
0.03,0.62,13.34570909090909
0.03,0.64,13.523154545454542
0.03,0.66,13.746272727272727
0.03,0.68,13.973890909090905
0.03,0.7,14.391445454545458
0.03,0.72,14.824354545454549
0.031,0.54,14.329036363636362
0.031,0.56,13.989136363636362
0.031,0.58,13.848281818181817
0.031,0.6,13.879627272727275
0.031,0.62,14.185354545454542
0.031,0.64,14.531563636363636
0.032,0.5,14.861945454545452
0.032,0.52,14.51529090909091
0.032,0.54,14.34337272727273
0.032,0.56,14.223363636363638
0.032,0.58,14.447563636363634
0.033,0.48,15.007945454545455
0.033,0.5,14.848745454545453
0.033,0.52,14.704954545454548
0.033,0.54,14.668254545454545
