α,p,l
0.025,0.86,1.6996787929247397
0.025,0.87,1.6972611212749382
0.025,0.88,1.6945926980102946
0.025,0.89,1.6917246944614923
0.025,0.9,1.6887111229961889
0.025,0.91,1.6856066922897235
0.025,0.92,1.6824648509938
0.025,0.93,1.6793360977473266
0.025,0.94,1.676266609620661
0.025,0.95,1.6732972156479535
0.025,0.96,1.6704627188179806
0.025,0.97,1.667791550040513
0.026,0.73,1.6805385344250825
0.026,0.74,1.6812288424967476
0.026,0.75,1.6817128708830342
0.026,0.76,1.681926591329328
0.026,0.77,1.6818164715916195
0.026,0.78,1.6813420944987165
0.026,0.79,1.6804778799133573
0.026,0.8,1.6792138637620777
0.027,0.64,1.6533967573226822
0.027,0.65,1.653237716883302
0.027,0.66,1.6533766475719702
0.027,0.67,1.6537668249352486
0.027,0.68,1.6543429465695647
0.028,0.57,1.637410063175641
0.028,0.58,1.635041412783016
0.028,0.59,1.6329867112167313
0.028,0.6,1.6313210934972593
0.029,0.51,1.6282805009130623
0.029,0.52,1.624759072123228
0.029,0.53,1.6211216414068341
0.029,0.54,1.6175337845641748
0.03,0.46,1.617961400675482
0.03,0.47,1.6147761431889918
0.03,0.48,1.6110211236646592
0.03,0.49,1.6068323855382995
0.031,0.43,1.6006162584947357
0.031,0.44,1.5974025196510604
0.031,0.45,1.5934804995231213
0.032,0.4,1.582191652599341
0.032,0.41,1.5791702308066442
0.033,0.37,1.563082728619323
0.033,0.38,1.5600850863592202
0.034,0.35,1.5411184873788613
0.034,0.36,1.5373940950067948
0.035,0.33,1.5196817634244275
0.036,0.31,1.5000144681832823
0.037,0.29,1.4835631081940506
0.037,0.3,1.4749440107404945
0.038,0.28,1.4604596311559255
0.039,0.26,1.4514321808669293
0.039,0.27,1.4384422710382851
0.04,0.25,1.432899176347302
0.041,0.24,1.4164326413888897
0.042,0.23,1.402341406038867
0.043,0.22,1.3908139766652237
0.045,0.21,1.3523947279340176
0.046,0.2,1.3477728945801037
0.047,0.19,1.3456709453161892
0.048,0.19,1.3192183328175893
0.049,0.18,1.3214686542104
0.051,0.17,1.303040062987908
0.053,0.16,1.2901355618462647
0.055,0.15,1.2821131850439809
0.056,0.15,1.2639147764428444
0.058,0.14,1.2622664474072558
0.059,0.14,1.2462142541463856
0.061,0.13,1.2497354183096654
0.062,0.13,1.2359435318869785
0.065,0.12,1.2315024981662541
0.066,0.12,1.2198042491143786
0.069,0.11,1.2214423487704211
0.07,0.11,1.2118542324378114
0.075,0.1,1.2018629742366276
0.081,0.09,1.1924051760116763
0.082,0.09,1.1864279300203606
0.089,0.08,1.1803582633571983
0.09,0.08,1.175922514617106
0.099,0.07,1.169666710479558
0.1,0.07,1.1665537946890814
