α,p,d
0.031,0.3,60.65176857142856
0.031,0.31,59.511414285714295
0.031,0.32,59.44438857142859
0.031,0.33,60.428951428571416
0.031,0.34,61.803262857142855
0.032,0.26,59.15486857142856
0.032,0.27,56.45343999999999
0.032,0.28,55.95635714285715
0.032,0.29,56.33633142857142
0.032,0.3,57.87708
0.032,0.31,60.13832571428572
0.032,0.32,62.31192000000001
0.033,0.23,61.21997142857142
0.033,0.24,55.89907428571429
0.033,0.25,53.330642857142834
0.033,0.26,53.94444285714287
0.033,0.27,56.14051428571427
0.033,0.28,58.3512657142857
0.033,0.29,60.93444857142857
0.034,0.21,60.70932571428574
0.034,0.22,54.76946571428572
0.034,0.23,52.182648571428565
0.034,0.24,53.89088000000001
0.034,0.25,57.153302857142855
0.034,0.26,60.36073428571429
0.035,0.2,56.53643714285715
0.035,0.21,54.011208571428575
0.035,0.22,54.715128571428586
0.035,0.23,59.05482285714287
0.036,0.18,60.98214857142858
0.036,0.19,57.203939999999974
0.036,0.2,55.97437714285713
0.036,0.21,60.384119999999996
0.037,0.17,61.71332571428571
0.037,0.18,59.70225999999999
0.037,0.19,61.22886
