α,p
0.24,0.35
0.24,0.44
0.24,0.59
0.24,0.64
0.24,0.79
0.24,0.86
0.25,0.04
0.25,0.05
0.25,0.06
0.25,0.07
0.25,0.08
0.25,0.09
0.25,0.1
0.25,0.11
0.25,0.12
0.25,0.13
0.25,0.14
0.25,0.15
0.25,0.16
0.25,0.17
0.25,0.18
0.25,0.19
0.25,0.2
0.25,0.21
0.25,0.22
0.25,0.23
0.25,0.24
0.25,0.25
0.25,0.26
0.25,0.27
0.25,0.28
0.25,0.29
0.25,0.3
0.25,0.31
0.25,0.32
0.25,0.33
0.25,0.34
0.25,0.35
0.25,0.36
0.25,0.37
0.25,0.38
0.25,0.39
0.25,0.4
0.25,0.41
0.25,0.42
0.25,0.43
0.25,0.44
0.25,0.45
0.25,0.46
0.25,0.47
0.25,0.48
0.25,0.49
0.25,0.5
0.25,0.51
0.25,0.52
0.25,0.53
0.25,0.54
0.25,0.55
0.25,0.56
0.25,0.57
0.25,0.58
0.25,0.59
0.25,0.6
0.25,0.61
0.25,0.62
0.25,0.63
0.25,0.64
0.25,0.65
0.25,0.66
0.25,0.67
0.25,0.68
0.25,0.69
0.25,0.7
0.25,0.71
0.25,0.72
0.25,0.73
0.25,0.74
0.25,0.75
0.25,0.76
0.25,0.77
0.25,0.78
0.25,0.79
0.25,0.8
0.25,0.81
0.25,0.82
0.25,0.83
0.25,0.84
0.25,0.85
0.25,0.86
0.25,0.87
0.25,0.88
0.25,0.89
0.25,0.9
0.25,0.91
0.25,0.92
0.25,0.93
0.25,0.94
0.25,0.95
0.25,0.96
0.25,0.97
0.25,0.98
0.25,0.99
0.25,1.0
0.26,0.03
0.26,0.04
0.26,0.05
0.26,0.06
0.26,0.07
0.26,0.08
0.26,0.09
0.26,0.1
0.26,0.11
0.26,0.12
0.26,0.13
0.26,0.14
0.26,0.15
0.26,0.16
0.26,0.17
0.26,0.18
0.26,0.19
0.26,0.2
0.26,0.21
0.26,0.22
0.26,0.23
0.26,0.24
0.26,0.25
0.26,0.26
0.26,0.27
0.26,0.28
0.26,0.29
0.26,0.3
0.26,0.31
0.26,0.32
0.26,0.33
0.26,0.34
0.26,0.35
0.26,0.36
0.26,0.37
0.26,0.38
0.26,0.39
0.26,0.4
0.26,0.41
0.26,0.42
0.26,0.43
0.26,0.44
0.26,0.45
0.26,0.46
0.26,0.47
0.26,0.48
0.26,0.49
0.26,0.5
0.26,0.51
0.26,0.52
0.26,0.53
0.26,0.54
0.26,0.55
0.26,0.56
0.26,0.57
0.26,0.58
0.26,0.59
0.26,0.6
0.26,0.61
0.26,0.62
0.26,0.63
0.26,0.64
0.26,0.65
0.26,0.66
0.26,0.67
0.26,0.68
0.26,0.69
0.26,0.7
0.26,0.71
0.26,0.72
0.26,0.73
0.26,0.74
0.26,0.75
0.26,0.76
0.26,0.77
0.26,0.78
0.26,0.79
0.26,0.8
0.26,0.81
0.26,0.82
0.26,0.83
0.26,0.84
0.26,0.85
0.26,0.86
0.26,0.87
0.26,0.88
0.26,0.89
0.26,0.9
0.26,0.91
0.26,0.92
0.26,0.93
0.26,0.94
0.26,0.95
0.26,0.96
0.26,0.97
0.26,0.98
0.26,0.99
0.26,1.0
0.27,0.02
0.27,0.03
0.27,0.04
0.27,0.05
0.27,0.06
0.27,0.07
0.27,0.08
0.27,0.09
0.27,0.1
0.27,0.11
0.27,0.12
0.27,0.13
0.27,0.14
0.27,0.15
0.27,0.16
0.27,0.17
0.27,0.18
0.27,0.19
0.27,0.2
0.27,0.21
0.27,0.22
0.27,0.23
0.27,0.24
0.27,0.25
0.27,0.26
0.27,0.27
0.27,0.28
0.27,0.29
0.27,0.3
0.27,0.31
0.27,0.32
0.27,0.33
0.27,0.34
0.27,0.35
0.27,0.36
0.27,0.37
0.27,0.38
0.27,0.39
0.27,0.4
0.27,0.41
0.27,0.42
0.27,0.43
0.27,0.44
0.27,0.45
0.27,0.46
0.27,0.47
0.27,0.48
0.27,0.49
0.27,0.5
0.27,0.51
0.27,0.52
0.27,0.53
0.27,0.54
0.27,0.55
0.27,0.56
0.27,0.57
0.27,0.58
0.27,0.59
0.27,0.6
0.27,0.61
0.27,0.62
0.27,0.63
0.27,0.64
0.27,0.65
0.27,0.66
0.27,0.67
0.27,0.68
0.27,0.69
0.27,0.7
0.27,0.71
0.27,0.72
0.27,0.73
0.27,0.74
0.27,0.75
0.27,0.76
0.27,0.77
0.27,0.78
0.27,0.79
0.27,0.8
0.27,0.81
0.27,0.82
0.27,0.83
0.27,0.84
0.27,0.85
0.27,0.86
0.27,0.87
0.27,0.88
0.27,0.89
0.27,0.9
0.27,0.91
0.27,0.92
0.27,0.93
0.27,0.94
0.27,0.95
0.27,0.96
0.27,0.97
0.27,0.98
0.27,0.99
0.27,1.0
0.28,0.02
0.28,0.03
0.28,0.04
0.28,0.05
0.28,0.06
0.28,0.07
0.28,0.08
0.28,0.09
0.28,0.1
0.28,0.11
0.28,0.12
0.28,0.13
0.28,0.14
0.28,0.15
0.28,0.16
0.28,0.17
0.28,0.18
0.28,0.19
0.28,0.2
0.28,0.21
0.28,0.22
0.28,0.23
0.28,0.24
0.28,0.25
0.28,0.26
0.28,0.27
0.28,0.28
0.28,0.29
0.28,0.3
0.28,0.31
0.28,0.32
0.28,0.33
0.28,0.34
0.28,0.35
0.28,0.36
0.28,0.37
0.28,0.38
0.28,0.39
0.28,0.4
0.28,0.41
0.28,0.42
0.28,0.43
0.28,0.44
0.28,0.45
0.28,0.46
0.28,0.47
0.28,0.48
0.28,0.49
0.28,0.5
0.28,0.51
0.28,0.52
0.28,0.53
0.28,0.54
0.28,0.55
0.28,0.56
0.28,0.57
0.28,0.58
0.28,0.59
0.28,0.6
0.28,0.61
0.28,0.62
0.28,0.63
0.28,0.64
0.28,0.65
0.28,0.66
0.28,0.67
0.28,0.68
0.28,0.69
0.28,0.7
0.28,0.71
0.28,0.72
0.28,0.73
0.28,0.74
0.28,0.75
0.28,0.76
0.28,0.77
0.28,0.78
0.28,0.79
0.28,0.8
0.28,0.81
0.28,0.82
0.28,0.83
0.28,0.84
0.28,0.85
0.28,0.86
0.28,0.87
0.28,0.88
0.28,0.89
0.28,0.9
0.28,0.91
0.28,0.92
0.28,0.93
0.28,0.94
0.28,0.95
0.28,0.96
0.28,0.97
0.28,0.98
0.28,0.99
0.28,1.0
0.29,0.02
0.29,0.03
0.29,0.04
0.29,0.05
0.29,0.06
0.29,0.07
0.29,0.08
0.29,0.09
0.29,0.1
0.29,0.11
0.29,0.12
0.29,0.13
0.29,0.14
0.29,0.15
0.29,0.16
0.29,0.17
0.29,0.18
0.29,0.19
0.29,0.2
0.29,0.21
0.29,0.22
0.29,0.23
0.29,0.24
0.29,0.25
0.29,0.26
0.29,0.27
0.29,0.28
0.29,0.29
0.29,0.3
0.29,0.31
0.29,0.32
0.29,0.33
0.29,0.34
0.29,0.35
0.29,0.36
0.29,0.37
0.29,0.38
0.29,0.39
0.29,0.4
0.29,0.41
0.29,0.42
0.29,0.43
0.29,0.44
0.29,0.45
0.29,0.46
0.29,0.47
0.29,0.48
0.29,0.49
0.29,0.5
0.29,0.51
0.29,0.52
0.29,0.53
0.29,0.54
0.29,0.55
0.29,0.56
0.29,0.57
0.29,0.58
0.29,0.59
0.29,0.6
0.29,0.61
0.29,0.62
0.29,0.63
0.29,0.64
0.29,0.65
0.29,0.66
0.29,0.67
0.29,0.68
0.29,0.69
0.29,0.7
0.29,0.71
0.29,0.72
0.29,0.73
0.29,0.74
0.29,0.75
0.29,0.76
0.29,0.77
0.29,0.78
0.29,0.79
0.29,0.8
0.29,0.81
0.29,0.82
0.29,0.83
0.29,0.84
0.29,0.85
0.29,0.86
0.29,0.87
0.29,0.88
0.29,0.89
0.29,0.9
0.29,0.91
0.29,0.92
0.29,0.93
0.29,0.94
0.29,0.95
0.29,0.96
0.29,0.97
0.29,0.98
0.29,0.99
0.29,1.0
0.3,0.01
0.3,0.02
0.3,0.03
0.3,0.04
0.3,0.05
0.3,0.06
0.3,0.07
0.3,0.08
0.3,0.09
0.3,0.1
0.3,0.11
0.3,0.12
0.3,0.13
0.3,0.14
0.3,0.15
0.3,0.16
0.3,0.17
0.3,0.18
0.3,0.19
0.3,0.2
0.3,0.21
0.3,0.22
0.3,0.23
0.3,0.24
0.3,0.25
0.3,0.26
0.3,0.27
0.3,0.28
0.3,0.29
0.3,0.3
0.3,0.31
0.3,0.32
0.3,0.33
0.3,0.34
0.3,0.35
0.3,0.36
0.3,0.37
0.3,0.38
0.3,0.39
0.3,0.4
0.3,0.41
0.3,0.42
0.3,0.43
0.3,0.44
0.3,0.45
0.3,0.46
0.3,0.47
0.3,0.48
0.3,0.49
0.3,0.5
0.3,0.51
0.3,0.52
0.3,0.53
0.3,0.54
0.3,0.55
0.3,0.56
0.3,0.57
0.3,0.58
0.3,0.59
0.3,0.6
0.3,0.61
0.3,0.62
0.3,0.63
0.3,0.64
0.3,0.65
0.3,0.66
0.3,0.67
0.3,0.68
0.3,0.69
0.3,0.7
0.3,0.71
0.3,0.72
0.3,0.73
0.3,0.74
0.3,0.75
0.3,0.76
0.3,0.77
0.3,0.78
0.3,0.79
0.3,0.8
0.3,0.81
0.3,0.82
0.3,0.83
0.3,0.84
0.3,0.85
0.3,0.86
0.3,0.87
0.3,0.88
0.3,0.89
0.3,0.9
0.3,0.91
0.3,0.92
0.3,0.93
0.3,0.94
0.3,0.95
0.3,0.96
0.3,0.97
0.3,0.98
0.3,0.99
0.3,1.0
0.31,0.01
0.31,0.02
0.31,0.03
0.31,0.04
0.31,0.05
0.31,0.06
0.31,0.07
0.31,0.08
0.31,0.09
0.31,0.1
0.31,0.11
0.31,0.12
0.31,0.13
0.31,0.14
0.31,0.15
0.31,0.16
0.31,0.17
0.31,0.18
0.31,0.19
0.31,0.2
0.31,0.21
0.31,0.22
0.31,0.23
0.31,0.24
0.31,0.25
0.31,0.26
0.31,0.27
0.31,0.28
0.31,0.29
0.31,0.3
0.31,0.31
0.31,0.32
0.31,0.33
0.31,0.34
0.31,0.35
0.31,0.36
0.31,0.37
0.31,0.38
0.31,0.39
0.31,0.4
0.31,0.41
0.31,0.42
0.31,0.43
0.31,0.44
0.31,0.45
0.31,0.46
0.31,0.47
0.31,0.48
0.31,0.49
0.31,0.5
0.31,0.51
0.31,0.52
0.31,0.53
0.31,0.54
0.31,0.55
0.31,0.56
0.31,0.57
0.31,0.58
0.31,0.59
0.31,0.6
0.31,0.61
0.31,0.62
0.31,0.63
0.31,0.64
0.31,0.65
0.31,0.66
0.31,0.67
0.31,0.68
0.31,0.69
0.31,0.7
0.31,0.71
0.31,0.72
0.31,0.73
0.31,0.74
0.31,0.75
0.31,0.76
0.31,0.77
0.31,0.78
0.31,0.79
0.31,0.8
0.31,0.81
0.31,0.82
0.31,0.83
0.31,0.84
0.31,0.85
0.31,0.86
0.31,0.87
0.31,0.88
0.31,0.89
0.31,0.9
0.31,0.91
0.31,0.92
0.31,0.93
0.31,0.94
0.31,0.95
0.31,0.96
0.31,0.97
0.31,0.98
0.31,0.99
0.31,1.0
0.32,0.01
0.32,0.02
0.32,0.03
0.32,0.04
