α,p
0.2,0.03
0.2,0.04
0.2,0.05
0.2,0.06
0.2,0.07
0.2,0.08
0.2,0.09
0.2,0.1
0.2,0.11
0.2,0.12
0.2,0.13
0.2,0.14
0.2,0.15
0.2,0.16
0.2,0.17
0.2,0.18
0.2,0.19
0.2,0.2
0.2,0.21
0.2,0.22
0.2,0.23
0.2,0.24
0.2,0.25
0.2,0.26
0.2,0.27
0.2,0.28
0.2,0.29
0.2,0.3
0.2,0.31
0.2,0.32
0.2,0.33
0.2,0.34
0.2,0.35
0.2,0.36
0.2,0.37
0.2,0.38
0.2,0.39
0.2,0.4
0.2,0.41
0.2,0.42
0.2,0.43
0.2,0.44
0.2,0.45
0.2,0.46
0.2,0.47
0.2,0.48
0.2,0.49
0.2,0.5
0.2,0.51
0.2,0.52
0.2,0.53
0.2,0.54
0.2,0.55
0.2,0.56
0.2,0.57
0.2,0.58
0.2,0.59
0.2,0.6
0.2,0.61
0.2,0.62
0.2,0.63
0.2,0.64
0.2,0.65
0.2,0.66
0.2,0.67
0.2,0.68
0.2,0.69
0.2,0.7
0.2,0.71
0.2,0.72
0.2,0.73
0.2,0.74
0.2,0.75
0.2,0.76
0.2,0.77
0.2,0.78
0.2,0.79
0.2,0.8
0.2,0.81
0.2,0.82
0.2,0.83
0.2,0.84
0.2,0.85
0.2,0.86
0.2,0.87
0.2,0.88
0.2,0.89
0.2,0.9
0.2,0.91
0.2,0.92
0.2,0.93
0.2,0.94
0.2,0.95
0.2,0.96
0.2,0.97
0.2,0.98
0.2,0.99
0.2,1.0
0.21,0.02
0.21,0.03
0.21,0.04
0.21,0.05
0.21,0.06
0.21,0.07
0.21,0.08
0.21,0.09
0.21,0.1
0.21,0.11
0.21,0.12
0.21,0.13
0.21,0.14
0.21,0.15
0.21,0.16
0.21,0.17
0.21,0.18
0.21,0.19
0.21,0.2
0.21,0.21
0.21,0.22
0.21,0.23
0.21,0.24
0.21,0.25
0.21,0.26
0.21,0.27
0.21,0.28
0.21,0.29
0.21,0.3
0.21,0.31
0.21,0.32
0.21,0.33
0.21,0.34
0.21,0.35
0.21,0.36
0.21,0.37
0.21,0.38
0.21,0.39
0.21,0.4
0.21,0.41
0.21,0.42
0.21,0.43
0.21,0.44
0.21,0.45
0.21,0.46
0.21,0.47
0.21,0.48
0.21,0.49
0.21,0.5
0.21,0.51
0.21,0.52
0.21,0.53
0.21,0.54
0.21,0.55
0.21,0.56
0.21,0.57
0.21,0.58
0.21,0.59
0.21,0.6
0.21,0.61
0.21,0.62
0.21,0.63
0.21,0.64
0.21,0.65
0.21,0.66
0.21,0.67
0.21,0.68
0.21,0.69
0.21,0.7
0.21,0.71
0.21,0.72
0.21,0.73
0.21,0.74
0.21,0.75
0.21,0.76
0.21,0.77
0.21,0.78
0.21,0.79
0.21,0.8
0.21,0.81
0.21,0.82
0.21,0.83
0.21,0.84
0.21,0.85
0.21,0.86
0.21,0.87
0.21,0.88
0.21,0.89
0.21,0.9
0.21,0.91
0.21,0.92
0.21,0.93
0.21,0.94
0.21,0.95
0.21,0.96
0.21,0.97
0.21,0.98
0.21,0.99
0.21,1.0
0.22,0.02
0.22,0.03
0.22,0.04
0.22,0.05
0.22,0.06
0.22,0.07
0.22,0.08
0.22,0.09
0.22,0.1
0.22,0.11
0.22,0.12
0.22,0.13
0.22,0.14
0.22,0.15
0.22,0.16
0.22,0.17
0.22,0.18
0.22,0.19
0.22,0.2
0.22,0.21
0.22,0.22
0.22,0.23
0.22,0.24
0.22,0.25
0.22,0.26
0.22,0.27
0.22,0.28
0.22,0.29
0.22,0.3
0.22,0.31
0.22,0.32
0.22,0.33
0.22,0.34
0.22,0.35
0.22,0.36
0.22,0.37
0.22,0.38
0.22,0.39
0.22,0.4
0.22,0.41
0.22,0.42
0.22,0.43
0.22,0.44
0.22,0.45
0.22,0.46
0.22,0.47
0.22,0.48
0.22,0.49
0.22,0.5
0.22,0.51
0.22,0.52
0.22,0.53
0.22,0.54
0.22,0.55
0.22,0.56
0.22,0.57
0.22,0.58
0.22,0.59
0.22,0.6
0.22,0.61
0.22,0.62
0.22,0.63
0.22,0.64
0.22,0.65
0.22,0.66
0.22,0.67
0.22,0.68
0.22,0.69
0.22,0.7
0.22,0.71
0.22,0.72
0.22,0.73
0.22,0.74
0.22,0.75
0.22,0.76
0.22,0.77
0.22,0.78
0.22,0.79
0.22,0.8
0.22,0.81
0.22,0.82
0.22,0.83
0.22,0.84
0.22,0.85
0.22,0.86
0.22,0.87
0.22,0.88
0.22,0.89
0.22,0.9
0.22,0.91
0.22,0.92
0.22,0.93
0.22,0.94
0.22,0.95
0.22,0.96
0.22,0.97
0.22,0.98
0.22,0.99
0.22,1.0
0.23,0.02
0.23,0.03
0.23,0.04
0.23,0.05
0.23,0.06
0.23,0.07
0.23,0.08
0.23,0.09
0.23,0.1
0.23,0.11
0.23,0.12
0.23,0.13
0.23,0.14
0.23,0.15
0.23,0.16
0.23,0.17
0.23,0.18
0.23,0.19
0.23,0.2
0.23,0.21
0.23,0.22
0.23,0.23
0.23,0.24
0.23,0.25
0.23,0.26
0.23,0.27
0.23,0.28
0.23,0.29
0.23,0.3
0.23,0.31
0.23,0.32
0.23,0.33
0.23,0.34
0.23,0.35
0.23,0.36
0.23,0.37
0.23,0.38
0.23,0.39
0.23,0.4
0.23,0.41
0.23,0.42
0.23,0.43
0.23,0.44
0.23,0.45
0.23,0.46
0.23,0.47
0.23,0.48
0.23,0.49
0.23,0.5
0.23,0.51
0.23,0.52
0.23,0.53
0.23,0.54
0.23,0.55
0.23,0.56
0.23,0.57
0.23,0.58
0.23,0.59
0.23,0.6
0.23,0.61
0.23,0.62
0.23,0.63
0.23,0.64
0.23,0.65
0.23,0.66
0.23,0.67
0.23,0.68
0.23,0.69
0.23,0.7
0.23,0.71
0.23,0.72
0.23,0.73
0.23,0.74
0.23,0.75
0.23,0.76
0.23,0.77
0.23,0.78
0.23,0.79
0.23,0.8
0.23,0.81
0.23,0.82
0.23,0.83
0.23,0.84
0.23,0.85
0.23,0.86
0.23,0.87
0.23,0.88
0.23,0.89
0.23,0.9
0.23,0.91
0.23,0.92
0.23,0.93
0.23,0.94
0.23,0.95
0.23,0.96
0.23,0.97
0.23,0.98
0.23,0.99
0.23,1.0
0.24,0.02
0.24,0.03
0.24,0.04
0.24,0.05
0.24,0.06
0.24,0.07
0.24,0.08
0.24,0.09
0.24,0.1
0.24,0.11
0.24,0.12
0.24,0.13
0.24,0.14
0.24,0.15
0.24,0.16
0.24,0.17
0.24,0.18
0.24,0.19
0.24,0.2
0.24,0.21
0.24,0.22
0.24,0.23
0.24,0.24
0.24,0.25
0.24,0.26
0.24,0.27
0.24,0.28
0.24,0.29
0.24,0.3
0.24,0.31
0.24,0.32
0.24,0.33
0.24,0.34
0.24,0.35
0.24,0.36
0.24,0.37
0.24,0.38
0.24,0.39
0.24,0.41
0.24,0.42
0.24,0.44
0.24,0.45
0.24,0.46
0.24,0.47
0.24,0.49
0.24,0.51
0.24,0.53
0.24,0.54
0.24,0.61
0.24,0.64
0.24,0.98
0.25,0.02
0.25,0.03
0.25,0.04
0.25,0.05
0.25,0.06
0.25,0.07
0.25,0.08
0.25,0.09
0.25,0.1
0.26,0.02
0.26,0.03
0.26,0.04
0.26,0.05
0.26,0.06
0.27,0.02
0.27,0.03
0.27,0.04
0.27,0.05
0.28,0.02
0.28,0.03
0.28,0.04
0.29,0.02
0.29,0.03
0.3,0.02
0.3,0.03
0.31,0.01
0.31,0.02
0.31,0.03
0.32,0.01
0.32,0.02
0.33,0.01
0.33,0.02
0.34,0.01
0.34,0.02
0.35,0.01
0.35,0.02
0.36,0.01
0.36,0.02
0.37,0.01
0.37,0.02
0.38,0.01
0.39,0.01
0.4,0.01
