α,p,l
0.2,0.06,363.1723933867979
0.2,0.07,363.01151659369594
0.2,0.08,362.8895509972808
0.2,0.09,362.7950269763862
0.2,0.1,362.720477181564
0.2,0.11,362.6608267814578
0.2,0.12,362.6125118296654
0.2,0.13,362.5729625388035
0.2,0.14,362.5402850256597
0.2,0.15,362.51305760487264
0.2,0.16,362.4901962291942
0.2,0.17,362.470863185257
0.2,0.18,362.4544036648486
0.2,0.19,362.44030076886474
0.2,0.2,362.42814298261624
0.2,0.21,362.4176002663368
0.2,0.22,362.4084062113691
0.2,0.23,362.40034454233773
0.2,0.24,362.393238783651
0.2,0.25,362.386944264206
0.2,0.26,362.3813418732857
0.2,0.27,362.3763331441537
0.2,0.28,362.37183635543533
0.2,0.29,362.36778342045926
0.2,0.3,362.3641173920181
0.2,0.31,362.3607904515305
0.2,0.32,362.35776228208965
0.2,0.33,362.3549987475576
0.2,0.34,362.3524708169142
0.2,0.35,362.35015368603547
0.2,0.36,362.34802605901837
0.2,0.37,362.3460695588774
0.2,0.38,362.3442682434517
0.2,0.39,362.34260820708965
0.2,0.4,362.34107725242427
0.2,0.41,362.3396646195283
0.2,0.42,362.33836076212356
0.2,0.43,362.3371571624322
0.2,0.44,362.3360461778024
0.2,0.45,362.33502091348964
0.2,0.46,362.3340751169902
0.2,0.47,362.33320309014766
0.2,0.48,362.33239961592693
0.2,0.49,362.3316598973016
0.2,0.5,362.3309795061497
0.2,0.51,362.33035434042307
0.2,0.52,362.32978058816184
0.2,0.53,362.32925469716974
0.2,0.54,362.3287733493789
0.2,0.55,362.3283334390964
0.2,0.56,362.32793205446865
0.2,0.57,362.32756646161255
0.2,0.58,362.3272340909608
0.2,0.59,362.32693252544357
0.2,0.6,362.32665949019844
0.2,0.61,362.32641284355003
0.2,0.62,362.32619056904826
0.2,0.63,362.32599076838994
0.2,0.64,362.3258116550776
0.2,0.65,362.3256515486963
0.2,0.66,362.32550886970876
0.2,0.67,362.325382134685
0.2,0.68,362.32526995190096
0.2,0.69,362.325171017245
0.2,0.7,362.3250841103885
0.2,0.71,362.3250080911779
0.2,0.72,362.32494189621696
0.2,0.73,362.32488453560916
0.2,0.74,362.32483508983864
0.2,0.75,362.32479270676737
0.2,0.76,362.32475659873285
0.2,0.77,362.3247260397312
0.2,0.78,362.32470036267284
0.2,0.79,362.3246789566998
0.2,0.8,362.3246612645558
0.2,0.81,362.3246467800001
0.2,0.82,362.3246350452589
0.2,0.83,362.3246256485071
0.2,0.84,362.32461822137645
0.2,0.85,362.32461243648436
0.2,0.86,362.32460800497915
0.2,0.87,362.32460467410056
0.2,0.88,362.32460222474924
0.2,0.89,362.32460046906624
0.2,0.9,362.324599248018
0.2,0.91,362.32459842898635
0.2,0.92,362.32459790336196
0.2,0.93,362.3245975841405
0.2,0.94,362.32459740352016
0.2,0.95,362.32459731050005
0.2,0.96,362.32459726848003
0.2,0.97,362.32459725286003
0.2,0.98,362.32459724864003
0.2,0.99,362.32459724802004
0.2,1.0,362.32459724800003
0.21,0.02,363.955756673001
0.21,0.03,363.07517212792703
0.21,0.04,362.5812672010882
0.21,0.05,362.25686996895695
0.21,0.06,362.02794435914257
0.21,0.07,361.85936932879235
0.21,0.08,361.7315423431769
0.21,0.09,361.6324533237714
0.21,0.1,361.55428515793756
0.21,0.11,361.4917258261445
0.21,0.12,361.44104462267967
0.21,0.13,361.3995510935538
0.21,0.14,361.36526197496846
0.21,0.15,361.3366880900785
0.21,0.16,361.31269361116233
0.21,0.17,361.2924005684249
0.21,0.18,361.2751225076887
0.21,0.19,361.26031741930547
0.21,0.2,361.24755370522985
0.21,0.21,361.2364851535368
0.21,0.22,361.2268322558772
0.21,0.23,361.21836807068166
0.21,0.24,361.2109073971132
0.21,0.25,361.2042983962018
0.21,0.26,361.1984160454049
0.21,0.27,361.19315698367177
0.21,0.28,361.18843542278
0.21,0.29,361.1841798844182
0.21,0.3,361.18033058237336
0.21,0.31,361.1768373126147
0.21,0.32,361.17365774596954
0.21,0.33,361.17075604182065
0.21,0.34,361.16810171910413
0.21,0.35,361.16566873446016
0.21,0.36,361.16343472781216
0.21,0.37,361.1613804037214
0.21,0.38,361.15948902316956
0.21,0.39,361.1577459853802
0.21,0.4,361.1561384832163
0.21,0.41,361.1546552188154
0.21,0.42,361.1532861686231
0.21,0.43,361.1520223889956
0.21,0.44,361.1508558551624
0.21,0.45,361.1497793276501
0.21,0.46,361.1487862413349
0.21,0.47,361.14787061315536
0.21,0.48,361.1470269652265
0.21,0.49,361.14625026067154
0.21,0.5,361.1455358499628
0.21,0.51,361.1448794259504
0.21,0.52,361.14427698607636
0.21,0.53,361.14372480053476
0.21,0.54,361.1432193853544
0.21,0.55,361.1427574795579
0.21,0.56,361.1423360256987
0.21,0.57,361.1419521531998
0.21,0.58,361.14160316401546
0.21,0.59,361.1412865202225
0.21,0.6,361.140999833215
0.21,0.61,361.1407408542341
0.21,0.62,361.1405074660073
0.21,0.63,361.140297675316
0.21,0.64,361.1401096063381
0.21,0.65,361.1399414946378
0.21,0.66,361.1397916817008
0.21,0.67,361.13965860992596
0.21,0.68,361.1395408180027
0.21,0.69,361.13943693661395
0.21,0.7,361.1393456844146
0.21,0.71,361.1392658642435
0.21,0.72,361.13919635953437
0.21,0.73,361.13913613089625
0.21,0.74,361.13908421283725
0.21,0.75,361.13903971061234
0.21,0.76,361.1390017971761
0.21,0.77,361.1389697102244
0.21,0.78,361.13894274931306
0.21,0.79,361.13892027304144
0.21,0.8,361.1389016962902
0.21,0.81,361.13888648750674
0.21,0.82,361.1388741660284
0.21,0.83,361.1388642994391
0.21,0.84,361.13885650095193
0.21,0.85,361.1388504268152
0.21,0.86,361.1388457737347
0.21,0.87,361.1388422763122
0.21,0.88,361.1388397044933
0.21,0.89,361.1388378610262
0.21,0.9,361.1388365789256
0.21,0.91,361.1388357189423
0.21,0.92,361.13883516703675
0.21,0.93,361.13883483185424
0.21,0.94,361.13883464220277
0.21,0.95,361.1388345445317
0.21,0.96,361.13883450041067
0.21,0.97,361.13883448400964
0.21,0.98,361.13883447957863
0.21,0.99,361.1388344789276
0.21,1.0,361.13883447890663
0.22,0.02,362.90424334217636
0.22,0.03,361.9838275148781
0.22,0.04,361.4675277072972
0.22,0.05,361.1284376583641
0.22,0.06,360.8891345465353
0.22,0.07,360.7128941942751
0.22,0.08,360.57922838054003
0.22,0.09,360.4755897152516
0.22,0.1,360.39381357066645
0.22,0.11,360.32835231559784
0.22,0.12,360.27530957435755
0.22,0.13,360.231874971375
0.22,0.14,360.1959763683212
0.22,0.15,360.16605743903654
0.22,0.16,360.1409308059823
0.22,0.17,360.1196783981014
0.22,0.18,360.10158221948427
0.22,0.19,360.0860752198827
0.22,0.2,360.0727057647881
0.22,0.21,360.0611115015291
0.22,0.22,360.05099984308765
0.22,0.23,360.04213319575547
0.22,0.24,360.034317642834
0.22,0.25,360.02739418374256
0.22,0.26,360.0212318882757
0.22,0.27,360.0157225038323
0.22,0.28,360.01077617717317
0.22,0.29,360.00631803955537
0.22,0.3,360.00228546655626
0.22,0.31,359.99862586921734
0.22,0.32,359.9952949064409
0.22,0.33,359.9922550333524
0.22,0.34,359.98947431898745
0.22,0.35,359.98692548084273
0.22,0.36,359.9845850947277
0.22,0.37,359.98243294678787
0.22,0.38,359.9804515011714
0.22,0.39,359.9786254619918
0.22,0.4,359.9769414123517
0.22,0.41,359.9753875164593
0.22,0.42,359.97395327348727
0.22,0.43,359.9726293139282
0.22,0.44,359.9714072308943
0.22,0.45,359.9702794401841
0.22,0.46,359.969239064054
0.22,0.47,359.968279834538
0.22,0.48,359.9673960129012
0.22,0.49,359.96658232241674
0.22,0.5,359.9658338921514
0.22,0.51,359.9651462098531
0.22,0.52,359.96451508236635
0.22,0.53,359.9639366022752
0.22,0.54,359.9634071197055
0.22,0.55,359.96292321839485
0.22,0.56,359.9624816953043
0.22,0.57,359.9620795431626
0.22,0.58,359.9617139354457
0.22,0.59,359.96138221337674
0.22,0.6,359.9610818746072
0.22,0.61,359.9608105632938
0.22,0.62,359.96056606134186
0.22,0.63,359.9603462806177
0.22,0.64,359.96014925597416
0.22,0.65,359.9599731389548
0.22,0.66,359.95981619206844
0.22,0.67,359.9596767835424
0.22,0.68,359.9595533824799
