α,p,d
0.125,1.0,42.22826075553894
0.13,0.77,41.95289850234985
0.13,1.0,41.98188400268555
0.133,0.95,39.97065734863281
0.134,0.71,41.397619009017944
0.135,0.7,41.04047608375549
0.137,0.66,42.170289754867554
0.137,0.97,41.18333339691162
0.138,0.56,41.169047594070435
0.138,0.77,38.76388883590698
0.139,0.84,42.30072474479675
0.139,0.89,42.257246255874634
0.139,0.9,39.95657277107239
0.14,0.86,39.0
0.14,0.97,38.625
0.141,0.74,40.940476179122925
0.141,0.78,42.14130425453186
0.141,0.82,36.89414405822754
0.141,0.85,41.38333320617676
0.141,0.86,42.126811504364014
0.141,0.87,42.344202756881714
0.142,0.51,38.371004581451416
0.142,0.65,41.69202899932861
0.142,0.77,41.49761915206909
0.142,0.88,41.18333339691162
0.142,0.94,41.996376752853394
0.142,0.95,38.3162100315094
0.143,0.71,39.98474168777466
0.143,0.74,40.569047689437866
0.143,0.82,42.039855003356934
0.143,0.88,41.63405799865723
0.143,0.91,42.257246255874634
0.143,0.95,40.0551643371582
0.143,0.98,38.847222089767456
0.144,0.63,39.277777671813965
0.144,0.67,40.196009397506714
0.144,0.71,40.15375590324402
0.144,0.8,40.95476198196411
0.144,0.81,42.09782600402832
0.144,0.84,40.86904764175415
0.144,0.91,40.167840242385864
0.144,0.98,42.38768124580383
0.144,1.0,41.0119047164917
0.145,0.61,42.01086950302124
0.145,0.7,41.9673912525177
0.145,0.8,41.42619037628174
0.145,0.86,37.877853870391846
0.145,0.88,40.02699518203735
0.145,0.97,37.94634699821472
0.146,0.69,42.1847825050354
0.146,0.81,42.22826075553894
0.146,0.88,35.333333253860474
0.146,0.96,40.18192481994629
0.146,0.99,40.69761896133423
0.146,1.0,39.90023469924927
0.147,0.64,41.38333320617676
0.147,0.73,40.562206506729126
0.147,0.76,41.98188400268555
0.147,0.79,39.91431927680969
0.147,0.81,37.27252244949341
0.147,0.82,42.31521725654602
0.147,0.88,42.06884050369263
0.147,0.93,41.69202899932861
0.147,0.95,39.63262915611267
0.147,0.96,39.402777671813965
0.147,0.97,42.300724506378174
0.147,1.0,42.329710245132446
0.148,0.66,42.22826075553894
0.148,0.69,42.257246255874634
0.148,0.75,41.45476198196411
0.148,0.76,40.21009397506714
0.148,0.77,40.96904754638672
0.148,0.86,41.70652174949646
0.148,0.92,37.96004557609558
0.148,0.93,38.49429225921631
0.148,0.96,39.277777671813965
0.148,0.99,40.083333253860474
0.148,1.0,41.82246375083923
0.149,0.57,42.083333253860474
0.149,0.73,41.19761896133423
0.149,0.75,41.211904764175415
0.149,0.81,37.1238739490509
0.149,0.82,42.14130425453186
0.149,0.87,41.38333344459534
0.149,0.9,39.731220722198486
0.149,0.91,37.0563063621521
0.149,0.94,42.126811504364014
0.149,0.95,39.71713614463806
0.149,0.99,41.9673912525177
0.15,0.53,40.393192529678345
0.15,0.57,41.483333349227905
0.15,0.62,42.329710245132446
0.15,0.65,40.224178314208984
0.15,0.77,42.35869574546814
0.15,0.8,39.98474168777466
0.15,0.81,40.91190481185913
0.15,0.86,40.72619032859802
0.15,0.89,38.81944441795349
0.15,0.9,41.14047622680664
0.15,0.91,41.90942025184631
0.15,0.92,39.11111116409302
0.15,0.94,40.06924867630005
0.15,0.96,41.069047689437866
0.15,0.99,42.02536225318909
0.15,1.0,38.0148401260376
