α,p,d
0.06,1.0,0.5163749999999999
0.061,0.98,0.48785
0.061,1.0,0.4826499999999999
0.062,0.96,0.50625
0.062,0.98,0.46477500000000005
0.062,1.0,0.4434499999999999
0.063,0.94,0.4887250000000001
0.063,0.96,0.46792500000000015
0.063,0.98,0.4560249999999999
0.063,1.0,0.4579500000000001
0.064,0.9,0.52895
0.064,0.92,0.49202499999999993
0.064,0.94,0.4759
0.064,0.96,0.48644999999999994
0.064,0.98,0.47187499999999993
0.064,1.0,0.46242499999999986
0.065,0.88,0.5298999999999999
0.065,0.9,0.48824999999999996
0.065,0.92,0.4878500000000001
0.065,0.94,0.4917750000000001
0.065,0.96,0.4843249999999999
0.065,0.98,0.4909499999999999
0.065,1.0,0.47957499999999986
0.066,0.88,0.4972749999999999
0.066,0.9,0.494325
0.066,0.92,0.50025
0.066,0.94,0.510225
0.066,0.96,0.506275
0.066,0.98,0.499475
0.066,1.0,0.48987499999999995
0.067,0.86,0.50615
0.067,0.88,0.5021000000000001
0.067,0.9,0.5167000000000002
0.067,0.92,0.5171500000000001
0.067,0.94,0.5054250000000001
0.067,0.96,0.5105
0.067,0.98,0.500875
0.067,1.0,0.5096250000000001
0.068,0.84,0.5110499999999999
0.068,0.86,0.521875
0.068,0.88,0.5102000000000001
0.068,0.9,0.5204750000000001
0.068,0.92,0.5247250000000001
0.068,0.94,0.523375
0.068,0.96,0.5133500000000001
0.068,0.98,0.5209750000000001
0.068,1.0,0.5186
0.069,0.82,0.530625
0.069,0.84,0.5284749999999999
0.069,0.86,0.5155249999999999
0.069,0.88,0.5303749999999999
0.069,0.92,0.5205
0.069,0.94,0.530625
0.069,0.98,0.5227750000000001
0.07,0.8,0.5201
0.07,0.82,0.52275
0.07,0.88,0.5209749999999999
0.07,1.0,0.529475
0.071,0.8,0.53185
