α,p
0.05,0.23
0.05,0.24
0.05,0.25
0.05,0.26
0.05,0.27
0.05,0.28
0.05,0.29
0.05,0.3
0.05,0.31
0.05,0.32
0.05,0.33
0.05,0.34
0.05,0.35
0.05,0.36
0.05,0.37
0.05,0.38
0.05,0.39
0.05,0.4
0.05,0.41
0.05,0.42
0.05,0.43
0.05,0.44
0.05,0.45
0.05,0.46
0.05,0.47
0.05,0.48
0.05,0.49
0.05,0.5
0.05,0.51
0.05,0.52
0.05,0.53
0.05,0.54
0.05,0.55
0.05,0.56
0.05,0.57
0.05,0.58
0.05,0.59
0.05,0.6
0.05,0.61
0.05,0.62
0.05,0.63
0.05,0.64
0.05,0.65
0.05,0.66
0.05,0.67
0.05,0.68
0.05,0.69
0.05,0.7
0.06,0.17
0.06,0.18
0.06,0.19
0.06,0.2
0.06,0.21
0.06,0.22
0.06,0.23
0.06,0.24
0.06,0.25
0.06,0.26
0.06,0.27
0.06,0.28
0.06,0.29
0.06,0.3
0.06,0.31
0.06,0.32
0.06,0.33
0.06,0.34
0.07,0.14
0.07,0.15
0.07,0.16
0.07,0.17
0.07,0.18
0.07,0.19
0.07,0.2
0.07,0.21
0.07,0.22
0.07,0.23
0.07,0.24
0.07,0.25
0.08,0.11
0.08,0.12
0.08,0.13
0.08,0.14
0.08,0.15
0.08,0.16
0.08,0.17
0.08,0.18
0.08,0.19
0.09,0.1
0.09,0.11
0.09,0.12
0.09,0.13
0.09,0.14
0.09,0.15
0.09,0.16
0.1,0.09
0.1,0.1
0.1,0.11
0.1,0.12
0.1,0.13
0.1,0.14
0.11,0.08
0.11,0.09
0.11,0.1
0.11,0.11
0.11,0.12
0.12,0.07
0.12,0.08
0.12,0.09
0.12,0.1
0.13,0.07
0.13,0.08
0.13,0.09
0.14,0.06
0.14,0.07
0.14,0.08
0.15,0.06
0.15,0.07
0.15,0.08
