α,p,l
0.05,0.37,2.0550710638983114
0.05,0.38,2.047006848143232
0.05,0.39,2.039200296813733
0.05,0.4,2.0316368255397563
0.05,0.41,2.024302802715212
0.05,0.42,2.0171854853228055
0.05,0.43,2.010272959896504
0.05,0.44,2.003554088019244
0.05,0.45,1.9970184558586217
0.05,0.46,1.990656327326028
0.05,0.47,1.9844586005100293
0.05,0.48,1.9784167670866701
0.05,0.49,1.9725228744507501
0.05,0.5,1.9667694903454163
0.05,0.51,1.961149669794346
0.05,0.52,1.9556569241628026
0.05,0.53,1.9502851921920268
0.05,0.54,1.9450288128665634
0.05,0.55,1.93988249998692
0.05,0.56,1.9348413183308484
0.05,0.57,1.9299006612959844
0.05,0.58,1.9250562299248035
0.05,0.59,1.920304013220163
0.05,0.6,1.9156402696661794
0.05,0.61,1.9110615098750996
0.05,0.62,1.9065644802861565
0.05,0.63,1.902146147847317
0.05,0.64,1.8978036856153695
0.05,0.65,1.8935344592140115
0.05,0.66,1.8893360140935431
0.05,0.67,1.8852060635394419
0.05,0.68,1.8811424773806023
0.05,0.69,1.8771432713512506
0.05,0.7,1.873206597063668
0.05,0.71,1.8693307325517645
0.05,0.72,1.865514073348302
0.05,0.73,1.8617551240611865
0.05,0.74,1.8580524904167306
0.05,0.75,1.854404871740103
0.05,0.76,1.8508110538454174
0.05,0.77,1.847269902309981
0.05,0.78,1.8437803561091828
0.05,0.79,1.8403414215903695
0.05,0.8,1.8369521667657656
0.05,0.81,1.8336117159061271
0.05,0.82,1.8303192444183307
0.05,0.83,1.8270739739915274
0.05,0.84,1.8238751679977678
0.05,0.85,1.820722127134268
0.05,0.86,1.8176141852955718
0.05,0.87,1.8145507056649386
0.05,0.88,1.8115310770152213
0.05,0.89,1.8085547102104087
0.05,0.9,1.8056210348997945
0.05,0.91,1.80272949639753
0.05,0.92,1.7998795527409754
0.05,0.93,1.797070671921961
0.05,0.94,1.794302329285646
0.05,0.95,1.7915740050922881
0.05,0.96,1.788885182237768
0.05,0.97,1.7862353441292869
0.05,0.98,1.7836239727131948
0.05,0.99,1.7810505466524913
0.05,1.0,1.7785145396520707
0.051,0.36,2.052337827525542
0.051,0.37,2.04392706689493
0.051,0.38,2.0357895173002696
0.051,0.39,2.027909349401384
0.051,0.4,2.0202717870009455
0.051,0.41,2.0128630349633165
0.051,0.42,2.00567021302621
0.051,0.43,1.9986812947900499
0.051,0.44,1.9918850512992665
0.051,0.45,1.9852709987308128
0.051,0.46,1.97882934978441
0.051,0.47,1.9725509684314266
0.051,0.48,1.9664273277286983
0.051,0.49,1.960450470443008
0.051,0.5,1.9546129722636034
0.051,0.51,1.9489079074058206
0.051,0.52,1.9433288164299192
0.051,0.53,1.9378696761166954
0.051,0.54,1.932524871256058
0.051,0.55,1.927289168217206
0.051,0.56,1.9221576901797301
0.051,0.57,1.917125893914307
0.051,0.58,1.912189548009866
0.051,0.59,1.907344712451465
0.051,0.6,1.9025877194597236
0.051,0.61,1.8979151555086793
0.051,0.62,1.8933238444444713
0.051,0.63,1.8888108316323398
0.051,0.64,1.884373369064173
0.051,0.65,1.8800089013632624
0.051,0.66,1.8757150526270567
0.051,0.67,1.871489614052607
0.051,0.68,1.8673305322930582
