α,p,d
0.025,0.8,70.62759999999997
0.025,0.81,69.83999999999997
0.025,0.82,68.99540000000002
0.025,0.83,68.47519999999997
0.025,0.84,67.73039999999997
0.025,0.85,67.04750000000001
0.025,0.86,66.37419999999997
0.025,0.87,65.25889999999998
0.025,0.88,65.0469
0.025,0.89,64.24310000000003
0.025,0.9,63.48919999999998
0.025,0.91,63.20670000000001
0.025,0.92,62.286699999999996
0.025,0.93,61.58589999999998
0.025,0.94,61.10649999999998
0.025,0.95,60.98970000000003
0.025,0.96,59.87220000000002
0.025,0.97,59.730999999999995
0.025,0.98,59.20260000000002
0.025,0.99,58.871399999999994
0.025,1.0,60.23720000000003
